"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-06-25",5.09366445214038,0.91,12.3,1.45362320690726
"2020-06-26",5.00419727792246,0.92,12,1.39961047789441
"2020-06-27",5.07427989772649,0.93,11.7,1.40346101817942
"2020-06-28",5.27856327885742,0.95,11.7,1.45014808715636
"2020-06-29",5.42767523588729,0.97,11.7,1.41960141960142
"2020-06-30",5.51416017096461,0.99,11.3,1.38815898136609
"2020-07-01",5.45749762729326,1.01,11,1.32181500368375
"2020-07-02",5.57976943205776,1.03,10.8,1.28529671394076
"2020-07-03",5.83176863943824,1.04,10.5,1.2898906346882
"2020-07-04",5.85115319385212,1.06,10.2,1.27733959199352
"2020-07-05",5.68414780197867,1.07,10.3,1.2400861423952
"2020-07-06",5.68713004111926,1.08,10.3,1.22321216669553
"2020-07-07",5.46644434471505,1.09,10.1,1.15483844547279
"2020-07-08",5.56634935592507,1.1,9.9,1.15103787663883
"2020-07-09",5.73484586736882,1.12,9.6,1.1426771803267
"2020-07-10",5.88694006353929,1.13,9.3,1.13545833920524
"2020-07-11",5.88246670482839,1.15,9.3,1.1246685862531
"2020-07-12",5.89588678096108,1.16,9.4,1.12717331501273
"2020-07-13",6.18814621673963,1.17,9.2,1.14651652365139
"2020-07-14",5.60362734518253,1.19,9.2,1.20233684628133
"2020-07-15",5.82729528072734,1.21,9,1.20175527613003
"2020-07-16",6.2239330864268,1.23,9,1.23300337052431
"2020-07-17",6.38497400001906,1.26,8.9,1.21181591265417
"2020-07-18",6.52961259833803,1.29,8.9,1.21528163229058
"2020-07-19",6.64293768568073,1.33,8.9,1.22586450276129
"2020-07-20",6.88151681692853,1.36,8.7,1.23091941545331
"2020-07-21",8.23992674547065,1.39,8.5,1.24196800010788
"2020-07-22",8.70515605140384,1.41,8.3,1.28875879150717
"2020-07-23",8.95119078050313,1.43,8.1,1.31679967008717
"2020-07-24",9.41343784729573,1.43,7.6,1.38197197528081
"2020-07-25",9.674383772098,1.42,7.3,1.41354150099458
"2020-07-26",9.78025326158921,1.41,7.3,1.42102264233517
"2020-07-27",10.3528431765839,1.4,7.4,1.47741007439184
"2020-07-28",10.7464987431428,1.39,7.1,1.49245695233954
"2020-07-29",11.1953257338027,1.38,7,1.50124870780237
"2020-07-30",11.7992291597737,1.37,7.1,1.53604851374252
"2020-07-31",12.3315588463703,1.37,6.9,1.56952800288474
"2020-08-01",12.5820669341805,1.36,6.8,1.58970591005859
"2020-08-02",12.5671557384775,1.36,6.8,1.584142038972
"2020-08-03",13.4528807632349,1.36,7.1,1.67128545600047
"2020-08-04",14.4221084839291,1.36,7.2,1.78897428072025
"2020-08-05",15.1527570733754,1.36,7.1,1.88936733525208
"2020-08-06",16.0608488916874,1.37,7.2,1.99244163353947
"2020-08-07",17.0479700472251,1.36,7.1,2.11138073552062
"2020-08-08",17.367069635269,1.36,7.2,2.14633085597082
"2020-08-09",17.6533645927664,1.37,7.3,2.18014610422494
"2020-08-10",18.8477513685756,1.37,7.4,2.3209226401964
"2020-08-11",19.8646949155194,1.38,7.3,2.45584022475307
"2020-08-12",21.2529272354674,1.39,7,2.61993081162159
"2020-08-13",23.3151456011906,1.41,6.9,2.83158788769991
