"Figure 6: More than 80% of deaths involving COVID-19 that occurred in Week 40 were in hospital",""
"Number of deaths involving COVID-19 by place of occurrence, England and Wales, occurring up to 2 October 2020 and registered up to 10 October 2020",""
"",""
"Notes","1. Figures include deaths of non-residents. 
2. Based on date of death, registered up to 10 October 2020. 
3. All figures for 2020 are provisional. 
4. The International Classification of Diseases, tenth edition (ICD-10) definitions are as follows: coronavirus (COVID-19) (U07.1 and U07.2). 
5. This chart includes deaths from week ending 6 March 2020 onwards. Two deaths involving COVID-19 occurred prior to this (in the week ending 31 January (Week 5) and the week ending 7 February (Week 6) and are not included in the chart."
"Unit","Number of deaths"
"",""
"Date","Other","Home","Care home","Hospital (acute or community, not psychiatric)"
"28-May","10","8","94","145"
"29-May","6","7","77","139"
"30-May","8","9","68","118"
"31-May","6","7","68","98"
"01-Jun","2","8","71","107"
"02-Jun","5","6","81","119"
"03-Jun","7","2","53","122"
"04-Jun","2","11","57","105"
"05-Jun","1","6","66","95"
"06-Jun","3","4","34","94"
"07-Jun","2","8","48","91"
"08-Jun","3","9","48","90"
"09-Jun","3","10","42","76"
"10-Jun","5","6","49","89"
"11-Jun","6","6","44","55"
"12-Jun","7","8","45","63"
"13-Jun","2","4","36","49"
"14-Jun","3","8","40","75"
"15-Jun","4","7","21","63"
"16-Jun","2","1","39","69"
"17-Jun","2","4","27","59"
"18-Jun","2","2","25","50"
"19-Jun","0","5","25","52"
"20-Jun","0","0","27","51"
"21-Jun","1","3","26","40"
"22-Jun","2","8","19","46"
"23-Jun","2","2","26","62"
"24-Jun","2","3","33","57"
"25-Jun","2","6","38","58"
"26-Jun","4","6","23","40"
"27-Jun","2","2","18","43"
"28-Jun","2","5","21","38"
"29-Jun","2","6","18","40"
"30-Jun","5","4","23","43"
"01-Jul","4","3","14","27"
"02-Jul","3","3","12","43"
"03-Jul","1","5","15","23"
"04-Jul","4","4","11","30"
"05-Jul","2","2","15","30"
"06-Jul","0","6","11","33"
"07-Jul","0","2","15","25"
"08-Jul","0","3","11","30"
"09-Jul","3","6","11","37"
"10-Jul","1","1","18","23"
"11-Jul","1","4","13","14"
"12-Jul","0","2","10","18"
"13-Jul","0","1","16","26"
"14-Jul","0","4","12","23"
"15-Jul","1","5","4","28"
"16-Jul","1","1","5","11"
"17-Jul","0","3","11","16"
"18-Jul","2","3","9","14"
"19-Jul","4","0","4","14"
"20-Jul","2","1","12","14"
"21-Jul","0","2","10","19"
"22-Jul","0","3","9","20"
"23-Jul","1","0","8","23"
"24-Jul","1","0","6","11"
"25-Jul","1","2","4","15"
"26-Jul","1","3","5","21"
"27-Jul","0","0","5","13"
"28-Jul","1","1","4","15"
"29-Jul","0","2","5","19"
"30-Jul","0","0","6","11"
"31-Jul","1","5","9","13"
"01-Aug","0","2","7","10"
"02-Aug","1","3","2","10"
"03-Aug","1","0","5","16"
"04-Aug","1","2","4","16"
"05-Aug","0","1","3","6"
"06-Aug","0","2","3","14"
"07-Aug","0","1","8","14"
"08-Aug","1","2","6","10"
"09-Aug","1","0","9","8"
"10-Aug","1","2","8","13"
"11-Aug","2","1","6","11"
"12-Aug","1","1","10","10"
"13-Aug","3","1","6","10"
"14-Aug","1","2","3","11"
"15-Aug","1","0","5","14"
"16-Aug","0","2","5","6"
"17-Aug","0","3","4","13"
"18-Aug","0","0","2","10"
"19-Aug","0","2","3","5"
"20-Aug","1","3","4","8"
"21-Aug","0","0","0","10"
"22-Aug","0","2","2","6"
"23-Aug","0","0","7","9"
"24-Aug","0","1","2","6"
"25-Aug","0","1","3","16"
"26-Aug","0","1","2","12"
"27-Aug","0","1","1","9"
"28-Aug","1","0","4","5"
"29-Aug","0","0","5","3"
"30-Aug","1","2","0","6"
"31-Aug","0","1","4","11"
"01-Sep","0","3","3","3"
"02-Sep","0","0","2","11"
"03-Sep","0","0","1","5"
"04-Sep","0","3","3","8"
"05-Sep","0","1","2","8"
"06-Sep","0","1","3","9"
"07-Sep","0","1","8","10"
"08-Sep","0","1","2","11"
"09-Sep","0","0","4","7"
"10-Sep","0","0","4","10"
"11-Sep","1","1","4","11"
"12-Sep","0","1","8","10"
"13-Sep","0","0","6","13"
"14-Sep","0","1","5","11"
"15-Sep","1","1","4","18"
"16-Sep","0","2","7","19"
"17-Sep","0","1","7","27"
"18-Sep","0","0","2","21"
"19-Sep","2","2","3","15"
"20-Sep","0","3","7","24"
"21-Sep","0","4","7","17"
"22-Sep","2","0","3","29"
"23-Sep","0","4","8","41"
"24-Sep","0","2","5","24"
"25-Sep","0","3","7","24"
"26-Sep","1","2","5","36"
"27-Sep","0","3","11","37"
"28-Sep","0","0","7","38"
"29-Sep","1","4","3","36"
"30-Sep","0","0","4","47"
"01-Oct","1","2","7","40"
"02-Oct","1","2","6","40"
