Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200229,S92000003,Total,d,60+,"",0,0,0,0,0,0,140,9.938600744401196
20200229,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,69,11.769461828564996
20200229,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,13,3.806668111248411
20200229,S92000003,Total,d,85plus,"",0,0,0,0,0,0,4,3.117425629914816
20200229,S92000003,Total,d,Total,d,0,2,0.03658982802780827,0,0,0,786,14.37980241492865
20200301,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,50,11.930070697598953
20200301,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,339,16.628724723970528
20200301,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,9,6.525853255313132
20200301,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,44,26.120045353896934
20200301,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,126,17.43066468934682
20200301,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,144,18.648743152414625
20200301,S92000003,Female,"",60+,"",1,1,0.13120828396621648,0,0,0,81,10.627871001263536
20200301,S92000003,Female,"",65 to 74,"",1,1,0.32698545568693105,0,0,0,35,11.444490949042587
20200301,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,7,3.645263760870697
20200301,S92000003,Female,"",85plus,"",0,0,0,0,0,0,5,6.066120715802245
20200301,S92000003,Female,"",Total,d,1,1,0.03570423752172603,0,0,0,420,14.995779759124932
20200301,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,76,17.246035113835177
20200301,S92000003,Male,"",0 to 59,"",1,3,0.14860975573509816,0,0,0,366,18.130390199681976
20200301,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,10,6.934476135000382
20200301,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,21,12.117575100114252
20200301,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,135,19.055927028503433
20200301,S92000003,Male,"",45 to 64,"",1,3,0.4150640582196519,0,0,0,149,20.61484822490938
20200301,S92000003,Male,"",60+,"",0,0,0,0,0,0,73,11.291535060989757
20200301,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,39,13.90676760364999
20200301,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,7,4.683026037624769
20200301,S92000003,Male,"",85plus,"",0,0,0,0,0,0,2,4.358627903935841
20200301,S92000003,Male,"",Total,d,1,3,0.11256140224492461,0,0,0,439,16.47148519517397
20200301,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,126,14.654741274032032
20200301,S92000003,Total,d,0 to 59,"",1,3,0.07393986864828801,0,0,0,707,17.425162378113207
20200301,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,19,6.734722812987381
20200301,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,66,19.312080291436846
20200301,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,262,18.304973433335313
20200301,S92000003,Total,d,45 to 64,"",1,3,0.20067560787986222,0,0,0,293,19.599317702933206
20200301,S92000003,Total,d,60+,"",1,1,0.0709900053171514,0,0,0,154,10.932460818841315
20200301,S92000003,Total,d,65 to 74,"",1,1,0.170571910558913,0,0,0,74,12.622321381359562
20200301,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,14,4.099488735190597
20200301,S92000003,Total,d,85plus,"",0,0,0,0,0,0,7,5.455494852350929
20200301,S92000003,Total,d,Total,d,2,4,0.07317965605561653,0,0,0,861,15.75192096597146
20200302,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,76,18.133707460350408
20200302,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,416,20.405750693721945
20200302,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,10,7.250948061459035
20200302,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,51,30.275507114744173
20200302,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,147,20.335775470904625
20200302,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,172,22.274887654273023
20200302,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,104,13.645661532486514
20200302,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,45,14.714345505911897
20200302,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,11,5.728271624225381
20200302,S92000003,Female,"",85plus,"",0,0,0,0,0,0,8,9.705793145283591
20200302,S92000003,Female,"",Total,d,0,1,0.03570423752172603,0,0,0,520,18.566203511297534
20200302,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,99,22.465229950916875
20200302,S92000003,Male,"",0 to 59,"",1,4,0.19814634098013087,0,0,0,445,22.043780434039558
20200302,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,12,8.321371362000457
20200302,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,23,13.271629871553705
20200302,S92000003,Male,"",25 to 44,"",1,1,0.14115501502595135,0,0,0,159,22.443647389126262
20200302,S92000003,Male,"",45 to 64,"",0,3,0.4150640582196519,0,0,0,183,25.318907551398766
20200302,S92000003,Male,"",60+,"",0,0,0,0,0,0,99,15.313177685451864
20200302,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,55,19.61210815899358
20200302,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,9,6.021033476946132
20200302,S92000003,Male,"",85plus,"",0,0,0,0,0,0,4,8.717255807871682
20200302,S92000003,Male,"",Total,d,1,4,0.15008186965989948,0,0,0,544,20.411134273746327
20200302,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,175,20.353807325044485
20200302,S92000003,Total,d,0 to 59,"",1,4,0.09858649153105069,0,0,0,863,21.270035547824182
20200302,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,22,7.798100099248547
20200302,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,75,21.94554578572369
20200302,S92000003,Total,d,25 to 44,"",1,1,0.06986631081425691,0,0,0,307,21.448957419976875
20200302,S92000003,Total,d,45 to 64,"",0,3,0.20067560787986222,0,0,0,355,23.746613599117026
20200302,S92000003,Total,d,60+,"",0,1,0.0709900053171514,0,0,0,203,14.410971079381735
20200302,S92000003,Total,d,65 to 74,"",0,1,0.170571910558913,0,0,0,100,17.0571910558913
20200302,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,20,5.85641247884371
20200302,S92000003,Total,d,85plus,"",0,0,0,0,0,0,12,9.35227688974445
20200302,S92000003,Total,d,Total,d,1,5,0.09147457006952067,0,0,0,1066,19.502378338821806
20200303,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,92,21.951330083582075
20200303,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,504,24.72235180200928
20200303,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,15,10.876422092188553
20200303,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,56,33.243694086777914
20200303,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,185,25.59264259943779
20200303,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,202,26.160042477692734
20200303,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,126,16.53224377974328
20200303,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,57,18.63817097415507
20200303,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,12,6.249023590064053
20200303,S92000003,Female,"",85plus,"",0,0,0,0,0,0,11,13.345465574764937
20200303,S92000003,Female,"",Total,d,0,1,0.03570423752172603,0,0,0,630,22.4936696386874
20200303,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,129,29.27287539058866
20200303,S92000003,Male,"",0 to 59,"",3,7,0.346756096715229,0,0,0,533,26.40299993560244
20200303,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,17,11.788609429500648
20200303,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,30,17.310821571591788
20200303,S92000003,Male,"",25 to 44,"",2,3,0.423465045077854,0,0,0,188,26.537142824878853
20200303,S92000003,Male,"",45 to 64,"",1,4,0.5534187442928692,0,0,0,209,28.916129389302412
20200303,S92000003,Male,"",60+,"",0,0,0,0,0,0,121,18.716106059996722
20200303,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,64,22.821362221374343
20200303,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,12,8.028044635928175
20200303,S92000003,Male,"",85plus,"",0,0,0,0,0,0,5,10.896569759839602
20200303,S92000003,Male,"",Total,d,3,7,0.26264327190482406,0,0,0,654,24.538385689393564
20200303,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,221,25.703950964770467
