Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210820,S12000005,Clackmannanshire,53,3839,7484.889842074478,0,95,185.2212906999415,25377,49477.48099044648
20210820,S12000006,Dumfries and Galloway,151,6715,4528.289163126306,1,147,99.1300829455796,58649,39550.205678063256
20210820,S12000008,East Ayrshire,43,9622,7912.828947368421,1,237,194.9013157894737,50139,41232.73026315789
20210820,S12000010,East Lothian,68,6756,6261.353104726598,0,115,106.58016682113067,42454,39345.69045412419
20210820,S12000011,East Renfrewshire,111,8073,8404.122423485322,0,175,182.1778055382053,40330,41984.17655631897
20210820,S12000013,Na h-Eileanan Siar,5,497,1875.4716981132076,0,12,45.283018867924525,8034,30316.98113207547
20210820,S12000014,Falkirk,88,10310,6421.275535625312,0,259,161.31041355256602,68386,42592.1773791729
20210820,S12000017,Highland,101,7415,3149.5561313341545,0,106,45.023998640784946,82038,34846.0264197426
20210820,S12000018,Inverclyde,62,5105,6624.70801972489,0,154,199.84427718660785,33185,43063.846353490786
20210820,S12000019,Midlothian,40,6990,7504.025764895331,0,162,173.91304347826087,39213,42096.618357487925
20210820,S12000020,Moray,13,2630,2747.884233622401,0,32,33.43433288057674,33106,34589.90701076168
20210820,S12000021,North Ayrshire,81,9690,7217.8770949720665,0,281,209.31098696461825,51930,38681.564245810056
20210820,S12000023,Orkney Islands,3,181,808.0357142857142,0,4,17.857142857142858,6142,27419.642857142855
20210820,S12000026,Scottish Borders,67,5012,4349.184311003123,1,111,96.32072197153767,41882,36343.283582089556
20210820,S12000027,Shetland Islands,1,410,1792.7415828596415,0,10,43.72540445999125,8699,38036.729339746395
20210820,S12000028,South Ayrshire,57,6912,6163.723916532906,1,220,196.183342250758,46107,41115.56982343499
20210820,S12000029,South Lanarkshire,292,27705,8635.683560875257,1,661,206.0345365002182,135062,42098.99632192507
20210820,S12000030,Stirling,52,5381,5719.600340136054,0,123,130.73979591836735,40515,43064.413265306124
20210820,S12000033,Aberdeen City,74,12406,5416.048196978957,0,248,108.2685759189732,94535,41270.84606653279
20210820,S12000034,Aberdeenshire,79,9662,3705.0387299639538,0,196,75.15913797070327,90936,34870.77229848915
20210820,S12000035,Argyll and Bute,78,3006,3518.670256350228,0,75,87.79117406063443,31170,36486.01193959967
20210820,S12000036,City of Edinburgh,427,36286,6877.298055418672,0,633,119.97270763049164,231782,43929.722148515975
20210820,S12000038,Renfrewshire,162,16449,9169.407436311947,0,381,212.3864206477507,78995,44035.341992307265
20210820,S12000039,West Dunbartonshire,100,7354,8324.654743038262,0,175,198.09825673534073,38466,43543.12882046638
20210820,S12000040,West Lothian,92,13061,7105.320422152105,0,257,139.81068436513982,70821,38527.363725383526
20210820,S12000041,Angus,30,6208,5360.04144361941,1,141,121.740632015196,45135,38969.95337592816
20210820,S12000042,Dundee City,74,13418,9016.261255207633,0,257,172.6918424942884,62292,41857.27724768176
20210820,S12000045,East Dunbartonshire,84,8462,7781.149425287356,0,201,184.82758620689657,45336,41688.275862068964
20210820,S12000047,Fife,236,21335,5702.563280143266,1,401,107.18199556303959,145947,39009.70250982279
20210820,S12000048,Perth and Kinross,40,8541,5622.408004739648,0,235,154.6968599828846,62202,40946.613126193144
20210820,S12000049,Glasgow City,583,63869,10047.983135107923,1,1228,193.19111446730855,276519,43502.45421936945
20210820,S12000050,North Lanarkshire,259,32706,9587.26622501026,1,723,211.93644837896466,143384,42030.83777921088
