Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200301,S92000003,Scotland,2,4,0.07317965605561653,,0,0,0,74,844,15.44090742773509,92,2,2.1739130434782608,,92,0,5,"",,:,2,0
20200302,S08000015,NHS Ayrshire and Arran,1,1,0.27174651485094703,,0,0,0,8,47,12.772086197994511,10,1,10,,10,0,,:,,:,1,0
20200302,S08000016,NHS Borders,0,0,0,,0,0,0,3,32,27.768136063866717,3,0,0,,3,0,,:,,:,0,0
20200302,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,11,41,27.64852653584193,13,0,0,,13,0,,:,,:,0,0
20200302,S08000019,NHS Forth Valley,0,1,0.3268721602981074,,0,0,0,14,85,27.78413362533913,21,0,0,,21,0,,:,,:,0,0
20200302,S08000020,NHS Grampian,0,2,0.3415592178293912,,0,0,0,17,106,18.10263854495773,18,0,0,,18,0,,:,,:,0,0
20200302,S08000022,NHS Highland,0,0,0,,0,0,0,3,35,10.908184254815184,3,0,0,,3,0,,:,,:,0,0
20200302,S08000024,NHS Lothian,0,0,0,,0,0,0,41,217,23.781082532411315,50,0,0,,50,0,,:,,:,0,0
20200302,S08000025,NHS Orkney,0,0,0,,0,0,0,0,3,13.392857142857144,0,0,0,,0,0,,:,,:,0,0
20200302,S08000029,NHS Fife,0,0,0,,0,0,0,13,73,19.5119343543688,14,0,0,,14,0,,:,,:,0,0
20200302,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,6,92,22.086184131556834,19,3,15.789473684210526,,19,0,,:,,:,3,0
20200302,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,59,216,18.22415713273261,80,0,0,,80,0,,:,,:,0,0
20200302,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,26,98,14.804519910568615,33,0,0,,33,0,,:,,:,0,0
20200302,S92000003,Scotland,1,5,0.09147457006952067,,0,0,0,201,1045,19.11818514452982,264,4,1.5151515151515151,,264,0,11,"",,:,4,0
20200303,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,,0,0,0,17,64,17.39177695046061,19,0,0,,19,0,,:,,:,0,0
20200303,S08000016,NHS Borders,0,0,0,,0,0,0,2,34,29.50364456785838,2,0,0,,2,0,,:,,:,0,0
20200303,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,7,48,32.36900667610763,10,0,0,,10,0,,:,,:,0,0
20200303,S08000019,NHS Forth Valley,1,2,0.6537443205962148,,0,0,0,15,100,32.68721602981074,24,1,4.166666666666666,,24,0,,:,,:,1,0
20200303,S08000020,NHS Grampian,1,3,0.5123388267440868,,0,0,0,10,116,19.810434634104688,15,1,6.666666666666667,,15,0,,:,,:,1,0
20200303,S08000022,NHS Highland,0,0,0,,0,0,0,8,43,13.401483513058654,10,0,0,,10,0,,:,,:,0,0
20200303,S08000024,NHS Lothian,0,0,0,,0,0,0,45,262,28.71264342622933,48,0,0,,48,0,,:,,:,0,0
20200303,S08000025,NHS Orkney,0,0,0,,0,0,0,1,4,17.857142857142858,1,0,0,,1,0,,:,,:,0,0
20200303,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,1,3.7735849056603774,1,0,0,,1,0,,:,,:,0,0
20200303,S08000029,NHS Fife,0,0,0,,0,0,0,11,84,22.452088846123004,13,0,0,,13,0,,:,,:,0,0
20200303,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,19,111,26.647461289160965,37,2,5.405405405405405,,37,0,,:,,:,2,0
20200303,S08000031,NHS Greater Glasgow and Clyde,1,1,0.08437109783672504,,0,0,0,53,269,22.695825318079038,72,2,2.7777777777777777,,72,0,,:,,:,2,0
20200303,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,26,124,18.732249682760287,35,0,0,,35,0,,:,,:,0,0
20200303,S92000003,Scotland,3,8,0.14635931211123307,,0,0,0,215,1260,23.051591657519207,287,6,2.0905923344947737,,287,0,13,"",,:,6,0
20200304,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,,0,0,0,10,74,20.10924209897008,15,1,6.666666666666667,,15,0,,:,,:,1,0
20200304,S08000016,NHS Borders,0,0,0,,0,0,0,3,37,32.10690732384589,3,0,0,,3,0,,:,,:,0,0
