Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,1,0,0,0,0,0,0,63,5.800501421122848
20200228,S92000003,2,0,0,0,0,0,0,92,8.465343619339261
20200228,S92000003,3,0,0,0,0,0,0,135,12.36403001436975
20200228,S92000003,4,1,2,0.18072724643967325,0,0,0,190,17.169088411768957
20200228,S92000003,5,0,0,0,0,0,0,190,17.401083995948294
20200229,S92000003,1,0,0,0,0,0,0,79,7.273644639185794
20200229,S92000003,2,0,0,0,0,0,0,102,9.385489664919616
20200229,S92000003,3,0,0,0,0,0,0,141,12.91354245945285
20200229,S92000003,4,0,2,0.18072724643967325,0,0,0,207,18.70527000650618
20200229,S92000003,5,0,0,0,0,0,0,204,18.683269132491855
20200301,S92000003,1,0,0,0,0,0,0,96,8.838859308377673
20200301,S92000003,2,0,0,0,0,0,0,110,10.1216065013839
20200301,S92000003,3,1,1,0.09158540751385,0,0,0,152,13.9209819421052
20200301,S92000003,4,0,2,0.18072724643967325,0,0,0,216,19.51854261548471
20200301,S92000003,5,1,1,0.09158465261025418,0,0,0,229,20.972885447748208
20200302,S92000003,1,0,0,0,0,0,0,138,12.705860255792905
20200302,S92000003,2,0,0,0,0,0,0,144,13.250103056357105
20200302,S92000003,3,0,1,0.09158540751385,0,0,0,187,17.126471205089953
20200302,S92000003,4,1,3,0.27109086965950985,0,0,0,251,22.681269428178993
20200302,S92000003,5,0,1,0.09158465261025418,0,0,0,280,25.64370273087117
20200303,S92000003,1,0,0,0,0,0,0,194,17.861861519013214
20200303,S92000003,2,0,0,0,0,0,0,182,16.746658029562454
20200303,S92000003,3,0,1,0.09158540751385,0,0,0,226,20.6983020981301
20200303,S92000003,4,2,5,0.4518181160991831,0,0,0,287,25.934359864093107
20200303,S92000003,5,1,2,0.18316930522050837,0,0,0,320,29.307088835281338
20200304,S92000003,1,0,0,0,0,0,0,237,21.82093391755738
20200304,S92000003,2,1,1,0.09201460455803545,0,0,0,214,19.69112537541959
20200304,S92000003,3,1,2,0.1831708150277,0,0,0,262,23.995376768628702
20200304,S92000003,4,1,6,0.5421817393190197,0,0,0,312,28.193450444589025
20200304,S92000003,5,3,5,0.4579232630512709,0,0,0,359,32.87889028708125
20200305,S92000003,1,1,1,0.0920714511289341,0,0,0,287,26.42450647400409
20200305,S92000003,2,0,1,0.09201460455803545,0,0,0,252,23.187680348624934
20200305,S92000003,3,0,2,0.1831708150277,0,0,0,291,26.65135358653035
20200305,S92000003,4,1,7,0.6325453625388563,0,0,0,346,31.26581363406347
20200305,S92000003,5,0,5,0.4579232630512709,0,0,0,388,35.53484521277862
20200306,S92000003,1,0,1,0.0920714511289341,0,0,0,334,30.75186467706399
20200306,S92000003,2,1,2,0.1840292091160709,0,0,0,283,26.04013308992403
20200306,S92000003,3,0,2,0.1831708150277,0,0,0,333,30.49794070211205
20200306,S92000003,4,4,11,0.9939998554182028,0,0,0,381,34.42854044675775
20200306,S92000003,5,1,6,0.5495079156615251,0,0,0,431,39.47298527501955
20200307,S92000003,1,0,1,0.0920714511289341,0,0,0,355,32.6853651507716
20200307,S92000003,2,0,2,0.1840292091160709,0,0,0,313,28.800571226665095
20200307,S92000003,3,1,3,0.27475622254155,0,0,0,359,32.87916129747215
20200307,S92000003,4,2,13,1.174727101857876,0,0,0,405,36.59726740403383
20200307,S92000003,5,2,8,0.7326772208820335,0,0,0,459,42.037355548106675
20200308,S92000003,1,0,1,0.0920714511289341,0,0,0,385,35.44750868463963
20200308,S92000003,2,0,2,0.1840292091160709,0,0,0,338,31.10093634061598
20200308,S92000003,3,0,3,0.27475622254155,0,0,0,383,35.07721107780455
20200308,S92000003,4,1,14,1.2650907250777126,0,0,0,422,38.13344899877106
20200308,S92000003,5,2,10,0.9158465261025418,0,0,0,478,43.7774639477015
20200309,S92000003,1,1,2,0.1841429022578682,0,0,0,435,40.05108124108633
20200309,S92000003,2,1,3,0.27604381367410635,0,0,0,391,35.97771038219186
20200309,S92000003,3,2,5,0.45792703756925,0,0,0,432,39.564896045983204
20200309,S92000003,4,7,21,1.897636087616569,0,0,0,482,43.55526639196125
20200309,S92000003,5,4,14,1.2821851365435586,0,0,0,550,50.371558935639804
20200310,S92000003,1,0,2,0.1841429022578682,0,0,0,511,47.04851152688533
20200310,S92000003,2,4,7,0.6441022319062482,0,0,0,468,43.062834933160595
20200310,S92000003,3,2,7,0.6410978525969501,0,0,0,503,46.067459979466555
20200310,S92000003,4,9,30,2.7109086965950984,0,0,0,552,49.88072001734982
20200310,S92000003,5,6,20,1.8316930522050836,0,0,0,609,55.7750534396448
20200311,S92000003,1,2,4,0.3682858045157364,0,0,0,614,56.53187099316553
20200311,S92000003,2,1,8,0.7361168364642836,0,0,0,549,50.51601790236147
20200311,S92000003,3,5,12,1.0990248901662,0,0,0,589,53.94380502565765
20200311,S92000003,4,7,37,3.343454059133955,0,0,0,626,56.567628135617724
20200311,S92000003,5,10,30,2.7475395783076255,0,0,0,685,62.73548703802412
20200312,S92000003,1,7,11,1.0127859624182751,0,0,0,742,68.3170167376691
20200312,S92000003,2,2,10,0.9201460455803545,0,0,0,651,59.90150756728109
20200312,S92000003,3,8,20,1.831708150277,0,0,0,685,62.736004146987256
20200312,S92000003,4,5,42,3.795272175233138,0,0,0,718,64.88108147184269
20200312,S92000003,5,16,46,4.212894020071692,0,0,0,786,71.9855369516598
20200313,S92000003,1,6,17,1.5652146691918796,0,0,0,864,79.54973377539906
20200313,S92000003,2,6,16,1.4722336729285672,0,0,0,755,69.47102644131677
20200313,S92000003,3,7,27,2.4728060028739502,0,0,0,786,71.9861303058861
20200313,S92000003,4,15,57,5.150726523530688,0,0,0,809,73.10417118484783
20200313,S92000003,5,13,59,5.403494504004997,0,0,0,896,82.05984873878775
20200314,S92000003,1,5,22,2.0255719248365502,1,1,0.0920714511289341,963,88.66480743716353
20200314,S92000003,2,5,21,1.9323066957187447,0,0,0,828,76.18809257405336
20200314,S92000003,3,1,28,2.5643914103878003,0,0,0,854,78.21393801682791
20200314,S92000003,4,6,63,5.692908262849707,1,1,0.09036362321983663,859,77.62235234583966
20200314,S92000003,5,2,61,5.586663809225505,0,0,0,938,85.90640414841842
20200315,S92000003,1,2,24,2.2097148270944182,0,1,0.0920714511289341,1053,96.95123803876761
20200315,S92000003,2,2,23,2.1163359048348154,0,0,0,885,81.43292503386137
20200315,S92000003,3,3,31,2.83914763292935,0,0,0,903,82.70162298500655
20200315,S92000003,4,0,63,5.692908262849707,0,1,0.09036362321983663,900,81.32726089785295
20200315,S92000003,5,5,66,6.044587072276776,0,0,0,973,89.11186698977733
20200316,S92000003,1,5,29,2.6700720827390887,0,1,0.0920714511289341,1190,109.56502684343157
20200316,S92000003,2,4,27,2.484394323066957,0,0,0,980,90.17431246687474
20200316,S92000003,3,5,36,3.2970746704986,1,1,0.09158540751385,996,91.2190658837946
20200316,S92000003,4,2,65,5.873635509289381,0,1,0.09036362321983663,989,89.36962336441842
20200316,S92000003,5,5,71,6.502510335328046,0,0,0,1052,96.3470545459874
20200317,S92000003,1,8,37,3.4066436917705616,0,1,0.0920714511289341,1327,122.17881564809555
20200317,S92000003,2,10,37,3.4045403686473117,1,1,0.09201460455803545,1095,100.75599199104882
20200317,S92000003,3,5,41,3.75500170806785,0,1,0.09158540751385,1093,100.10285041263806
20200317,S92000003,4,6,71,6.4158172486084,0,1,0.09036362321983663,1086,98.13489481674259
20200317,S92000003,5,12,83,7.601526166651098,1,1,0.09158465261025418,1157,105.9634430700641
20200318,S92000003,1,11,48,4.4194296541888365,0,1,0.0920714511289341,1441,132.67496107679403
20200318,S92000003,2,7,44,4.04864260055356,0,1,0.09201460455803545,1212,111.52170072433897
