Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,0,"",0,"",All vaccinations
20201208,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201208,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,1924,"",1924,"",All vaccinations
20201208,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,"",Dose 1,1924,"",1924,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 1,1923,0.0433198065003589,1923,0.0433198065003589,18 years and over
20201208,S92000003,Total,2875396,Dose 1,1339,0.0465674988766765,1339,0.0465674988766765,40 years and over
20201208,S92000003,Total,4549217,Dose 1,1924,0,1924,0,16 years and over
20201208,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201208,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201208,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201208,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,0,"",0,"",All vaccinations
20201209,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 1,0,"",0,"",All vaccinations
20201209,S92000003,Moderna (Spikevax),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,3850,"",5774,"",All vaccinations
20201209,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,"",Dose 1,3850,"",5774,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 1,3850,0.0867297218025905,5773,0.130049528302949,18 years and over
20201209,S92000003,Total,2875396,Dose 1,2562,0.0891007708155677,3901,0.135668269692244,40 years and over
20201209,S92000003,Total,4549217,Dose 1,3850,0.1,5774,0.1,16 years and over
20201209,S92000003,Total,"",Dose 2,0,"",0,"",All vaccinations
20201209,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
