Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210827,S92000003,Female,"",0 to 14,"",23040,5497.376577453598,2,0.4772028279039582,163031,38899.4271180051
20210827,S92000003,Female,"",0 to 59,"",179320,8796.055803841873,246,12.066862189075959,956898,46938.033719521976
20210827,S92000003,Female,"",15 to 19,"",20411,14799.910088244036,,,60365,43770.34797299747
20210827,S92000003,Female,"",20 to 24,"",24158,14341.092174078229,3,1.7809121832202452,98101,58236.422028696434
20210827,S92000003,Female,"",25 to 44,"",68894,9530.700104030635,32,4.42683547665951,376734,52116.85738949512
20210827,S92000003,Female,"",45 to 64,"",51864,6716.655658728,348,45.06779595166867,327608,42426.92671302952
20210827,S92000003,Female,"",60+,"",31547,4139.227734282232,3600,472.34982227837935,271224,35586.8356104531
20210827,S92000003,Female,"",65 to 74,"",8818,2883.357748247358,560,183.1118551846814,94057,30755.271005545677
20210827,S92000003,Female,"",75 to 84,"",7113,3704.1087330104674,1132,589.4912253293757,67069,34926.31359683383
20210827,S92000003,Female,"",85plus,"",6569,7969.669396420989,1769,2146.193509250834,41157,49932.666060054595
20210827,S92000003,Male,"",0 to 14,"",22632,5135.687719688392,1,0.22692151465572602,177651,40312.83400010438
20210827,S92000003,Male,"",0 to 59,"",168930,8368.215345443377,318,15.752634107920404,826727,40953.23250987016
20210827,S92000003,Male,"",15 to 19,"",18724,12984.113115174714,1,0.6934476135000381,51708,35856.78919885997
20210827,S92000003,Male,"",20 to 24,"",24946,14394.52516416429,3,1.7310821571591786,77570,44760.01431027917
20210827,S92000003,Male,"",25 to 44,"",65620,9262.592086002927,47,6.634285706219713,315736,44567.719824233776
20210827,S92000003,Male,"",45 to 64,"",45746,6329.173469105398,514,71.11430864163368,261654,36201.057029801595
20210827,S92000003,Male,"",60+,"",27542,4260.156967805204,3939,609.278857606009,227696,35219.68996228937
20210827,S92000003,Male,"",65 to 74,"",9354,3335.484722167744,859,306.30547106500876,89751,32003.75126141514
20210827,S92000003,Male,"",75 to 84,"",6149,4113.70387219353,1507,1008.1886055286468,56969,38112.47290534936
20210827,S92000003,Male,"",85plus,"",3301,7193.915355446105,1325,2887.590986357495,23384,50961.07745281785
20210827,S92000003,Total,d,Total,d,407660,7458.104646908159,8103,148.24368825466522,2288327,41864.7457006952
