Date,Country,SIMDQuintile,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210820,S92000003,1,95217,8766.767362143719,2266,208.63390825816467,468486,43134.18585358982
20210820,S92000003,2,82837,7622.213797773983,1871,172.15932512808433,456278,41984.2397385313
20210820,S92000003,3,65796,6025.953472781275,1485,136.00433015806726,432648,39624.24339005218
20210820,S92000003,4,66904,6045.687847899949,1313,118.64743728764549,443086,40038.85635798453
20210820,S92000003,5,65120,5963.992577979752,1115,102.1168876604334,426111,39025.22790840802
