Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210820,S92000003,Female,"",0 to 14,"",20516,4895.146608638803,2,0.4772028279039582,158984,37933.80719574144
20210820,S92000003,Female,"",0 to 59,"",165341,8110.353907333366,244,11.968757618433065,931301,45682.44237214889
20210820,S92000003,Female,"",15 to 19,"",17891,12972.671176756361,,,58396,42342.63629969618
20210820,S92000003,Female,"",20 to 24,"",21767,12921.705164051695,3,1.7809121832202452,96024,57003.43716051361
20210820,S92000003,Female,"",25 to 44,"",64763,8959.22331171562,32,4.42683547665951,367528,50843.312158303634
20210820,S92000003,Female,"",45 to 64,"",49001,6345.882383412979,346,44.808785630107366,317317,41094.189103435776
20210820,S92000003,Female,"",60+,"",30286,3973.774088200833,3589,470.906531154751,264229,34669.03366410942
20210820,S92000003,Female,"",65 to 74,"",8367,2735.887307732552,560,183.1118551846814,91293,29851.483206026995
20210820,S92000003,Female,"",75 to 84,"",6868,3576.5245013799927,1126,586.3667135343436,65603,34162.891214914336
20210820,S92000003,Female,"",85plus,"",6454,7830.148619957537,1764,2140.127388535032,40385,48996.057021534725
20210820,S92000003,Male,"",0 to 14,"",19919,4520.049650427407,1,0.22692151465572602,173699,39416.04017418495
20210820,S92000003,Male,"",0 to 59,"",154139,7635.519713084098,315,15.604024352185307,803066,39781.14736638745
20210820,S92000003,Male,"",15 to 19,"",16327,11321.919185615123,1,0.6934476135000381,49994,34668.21998932091
20210820,S92000003,Male,"",20 to 24,"",22339,12890.214769592963,3,1.7310821571591786,75835,43758.87179605544
20210820,S92000003,Male,"",25 to 44,"",60938,8601.704305651423,47,6.634285706219713,306935,43325.41453699038
20210820,S92000003,Male,"",45 to 64,"",42778,5918.536760840089,508,70.28418052519439,252492,34933.45139599878
20210820,S92000003,Male,"",60+,"",26079,4033.8622308979707,3919,606.1852863564227,221414,34247.99923279433
20210820,S92000003,Male,"",65 to 74,"",8811,3141.8597270707714,854,304.5225521414639,87200,31094.106026622547
20210820,S92000003,Male,"",75 to 84,"",5888,3939.093901362092,1499,1002.8365757713614,55817,37341.78062030025
20210820,S92000003,Male,"",85plus,"",3218,7013.032297432768,1321,2878.873730549623,22508,49051.99843089395
20210820,S92000003,Total,d,Total,d,376753,6892.663739480425,8067,147.58507135016467,2237260,40930.47932674717
