Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210925,S92000003,Female,"",0 to 14,"",42607,10166.090444251973,2,0.4772028279039582,188507,44978.036739845724
20210925,S92000003,Female,"",0 to 59,"",246194,12076.378332428318,265,12.998855610183451,1082682,53108.02637639487
20210925,S92000003,Female,"",15 to 19,"",28676,20792.81866103993,,,72935,52884.789686251475
20210925,S92000003,Female,"",20 to 24,"",29569,17553.264115213147,3,1.7809121832202452,115470,68547.30993214725
20210925,S92000003,Female,"",25 to 44,"",89743,12414.92175568295,36,4.980189911241949,415604,57494.079107549966
20210925,S92000003,Female,"",45 to 64,"",67347,8721.784063094914,375,48.56443529274642,367899,47644.81914604297
20210925,S92000003,Female,"",60+,"",39627,5199.390668729261,3775,495.31127197246724,299562,39305.01596148774
20210925,S92000003,Female,"",65 to 74,"",11839,3871.1808098775764,597,195.21031704509784,106674,34880.846499947686
20210925,S92000003,Female,"",75 to 84,"",8751,4557.10045305421,1185,617.0910795188252,72297,37648.8048742384
20210925,S92000003,Female,"",85plus,"",7289,8843.190779496512,1842,2234.758871701547,42858,51996.360327570525
20210925,S92000003,Male,"",0 to 14,"",42471,9637.58364894334,1,0.22692151465572602,202312,45908.94547302924
20210925,S92000003,Male,"",0 to 59,"",231500,11467.719484225074,348,17.238731665271388,942568,46691.600081239994
20210925,S92000003,Male,"",15 to 19,"",26852,18620.455317703025,1,0.6934476135000381,62515,43350.87755795489
20210925,S92000003,Male,"",20 to 24,"",30128,17384.681076963912,4,2.3081095428789054,90647,52305.80143333603
20210925,S92000003,Male,"",25 to 44,"",83243,11750.166915805268,54,7.622370811401374,353727,49930.340000084696
20210925,S92000003,Male,"",45 to 64,"",60430,8360.773679404521,550,76.09507734026951,298687,41324.74611915106
20210925,S92000003,Male,"",60+,"",35584,5504.081967263829,4144,640.9879629142679,252408,39042.10659827812
20210925,S92000003,Male,"",65 to 74,"",12545,4473.34357917408,915,326.27416300871135,101150,36068.44982331274
20210925,S92000003,Male,"",75 to 84,"",7672,5132.596537236747,1584,1059.7018919425193,61403,41078.835398324816
20210925,S92000003,Male,"",85plus,"",3743,8157.172122215927,1383,3013.9911955716343,24535,53469.46781153294
20210925,S92000003,Total,d,Total,d,553350,10123.490669593853,8532,156.09220636663008,2584829,47289.22429564581
