Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210904,S92000003,Female,"",0 to 14,"",28791,6869.57330909143,2,0.4772028279039582,170705,40730.45436867259
20210904,S92000003,Female,"",0 to 59,"",201177,9868.19160411274,249,12.2140190450403,990199,48571.52387301148
20210904,S92000003,Female,"",15 to 19,"",23499,17039.00284962259,,,63404,45973.91108887487
20210904,S92000003,Female,"",20 to 24,"",26623,15804.408351290864,3,1.7809121832202452,100826,59854.08392845483
20210904,S92000003,Female,"",25 to 44,"",75640,10463.932357953918,32,4.42683547665951,387129,53554.887226366234
20210904,S92000003,Female,"",45 to 64,"",56439,7309.141769299507,353,45.71532175557196,339544,43972.70031210744
20210904,S92000003,Female,"",60+,"",33667,4417.389296290611,3622,475.23640452563615,279212,36634.92738277524
20210904,S92000003,Female,"",65 to 74,"",9596,3137.7524327717906,564,184.4197970074291,97548,31896.77723134875
20210904,S92000003,Female,"",75 to 84,"",7512,3911.8887673800973,1137,592.094985158569,68588,35717.33583294277
20210904,S92000003,Female,"",85plus,"",6744,8181.983621474068,1780,2159.5389748255993,41667,50551.41037306642
20210904,S92000003,Male,"",0 to 14,"",28628,6496.309121564124,1,0.22692151465572602,185110,42005.44157792144
20210904,S92000003,Male,"",0 to 59,"",190877,9455.39478181611,325,16.099390204635636,857917,42498.27860366274
20210904,S92000003,Male,"",15 to 19,"",21908,15192.050316558836,1,0.6934476135000381,54448,37756.835659850076
20210904,S92000003,Male,"",20 to 24,"",27524,15882.101764549745,4,2.3081095428789054,79685,45980.427231076384
20210904,S92000003,Male,"",25 to 44,"",72003,10163.584546913575,49,6.916595736271617,325780,45985.480795154435
20210904,S92000003,Male,"",45 to 64,"",50443,6979.0254295913,522,72.22114613021942,272696,37728.769473422064
20210904,S92000003,Male,"",60+,"",29848,4616.845732882497,3969,613.9192144803883,234680,36299.96504264488
20210904,S92000003,Male,"",65 to 74,"",10260,3658.5496311140746,867,309.15814134268055,92886,33121.64142647777
20210904,S92000003,Male,"",75 to 84,"",6551,4382.643367497123,1519,1016.216650164575,58249,38968.79766651503
20210904,S92000003,Male,"",85plus,"",3408,7427.101948306673,1331,2900.666870069302,23743,51743.45116157434
20210904,S92000003,Total,d,Total,d,455926,8341.126966703256,8165,149.37797292352727,2368177,43325.59458470545
