areaCode,areaName,areaType,date,newPCRTestsByPublishDate
K02000001,United Kingdom,overview,2021-04-15,285531
K02000001,United Kingdom,overview,2021-04-14,303014
K02000001,United Kingdom,overview,2021-04-13,271875
K02000001,United Kingdom,overview,2021-04-12,149104
K02000001,United Kingdom,overview,2021-04-11,174505
K02000001,United Kingdom,overview,2021-04-10,274811
K02000001,United Kingdom,overview,2021-04-09,314328
K02000001,United Kingdom,overview,2021-04-08,323855
K02000001,United Kingdom,overview,2021-04-07,296382
K02000001,United Kingdom,overview,2021-04-06,201792
K02000001,United Kingdom,overview,2021-04-05,128365
K02000001,United Kingdom,overview,2021-04-04,163595
K02000001,United Kingdom,overview,2021-04-03,216295
K02000001,United Kingdom,overview,2021-04-02,284908
K02000001,United Kingdom,overview,2021-04-01,303876
K02000001,United Kingdom,overview,2021-03-31,311035
K02000001,United Kingdom,overview,2021-03-30,308843
K02000001,United Kingdom,overview,2021-03-29,167626
K02000001,United Kingdom,overview,2021-03-28,197358
K02000001,United Kingdom,overview,2021-03-27,290459
K02000001,United Kingdom,overview,2021-03-26,299175
K02000001,United Kingdom,overview,2021-03-25,338036
K02000001,United Kingdom,overview,2021-03-24,378348
K02000001,United Kingdom,overview,2021-03-23,316751
K02000001,United Kingdom,overview,2021-03-22,187944
K02000001,United Kingdom,overview,2021-03-21,209912
K02000001,United Kingdom,overview,2021-03-20,288320
K02000001,United Kingdom,overview,2021-03-19,326346
K02000001,United Kingdom,overview,2021-03-18,322869
K02000001,United Kingdom,overview,2021-03-17,367176
K02000001,United Kingdom,overview,2021-03-16,322341
K02000001,United Kingdom,overview,2021-03-15,169221
K02000001,United Kingdom,overview,2021-03-14,198122
K02000001,United Kingdom,overview,2021-03-13,274253
K02000001,United Kingdom,overview,2021-03-12,283272
K02000001,United Kingdom,overview,2021-03-11,334345
K02000001,United Kingdom,overview,2021-03-10,373298
K02000001,United Kingdom,overview,2021-03-09,286539
K02000001,United Kingdom,overview,2021-03-08,167365
K02000001,United Kingdom,overview,2021-03-07,197156
K02000001,United Kingdom,overview,2021-03-06,283009
K02000001,United Kingdom,overview,2021-03-05,318682
K02000001,United Kingdom,overview,2021-03-04,311336
K02000001,United Kingdom,overview,2021-03-03,349905
K02000001,United Kingdom,overview,2021-03-02,303535
K02000001,United Kingdom,overview,2021-03-01,186007
K02000001,United Kingdom,overview,2021-02-28,206124
K02000001,United Kingdom,overview,2021-02-27,281418
K02000001,United Kingdom,overview,2021-02-26,303591
K02000001,United Kingdom,overview,2021-02-25,328277
K02000001,United Kingdom,overview,2021-02-24,347432
K02000001,United Kingdom,overview,2021-02-23,297942
K02000001,United Kingdom,overview,2021-02-22,178527
K02000001,United Kingdom,overview,2021-02-21,254333
K02000001,United Kingdom,overview,2021-02-20,300666
K02000001,United Kingdom,overview,2021-02-19,306252
K02000001,United Kingdom,overview,2021-02-18,333398
K02000001,United Kingdom,overview,2021-02-17,358772
K02000001,United Kingdom,overview,2021-02-16,294061
K02000001,United Kingdom,overview,2021-02-15,189388
K02000001,United Kingdom,overview,2021-02-14,218980
K02000001,United Kingdom,overview,2021-02-13,300922
K02000001,United Kingdom,overview,2021-02-12,344532
K02000001,United Kingdom,overview,2021-02-11,352215
K02000001,United Kingdom,overview,2021-02-10,370159
K02000001,United Kingdom,overview,2021-02-09,305590
K02000001,United Kingdom,overview,2021-02-08,177515
K02000001,United Kingdom,overview,2021-02-07,252132
K02000001,United Kingdom,overview,2021-02-06,342335
K02000001,United Kingdom,overview,2021-02-05,374342
K02000001,United Kingdom,overview,2021-02-04,387559
K02000001,United Kingdom,overview,2021-02-03,376921
K02000001,United Kingdom,overview,2021-02-02,318257
K02000001,United Kingdom,overview,2021-02-01,190074
K02000001,United Kingdom,overview,2021-01-31,243538
K02000001,United Kingdom,overview,2021-01-30,332831
K02000001,United Kingdom,overview,2021-01-29,384494
K02000001,United Kingdom,overview,2021-01-28,405337
K02000001,United Kingdom,overview,2021-01-27,416040
K02000001,United Kingdom,overview,2021-01-26,328748
K02000001,United Kingdom,overview,2021-01-25,196510
K02000001,United Kingdom,overview,2021-01-24,262111
K02000001,United Kingdom,overview,2021-01-23,389209
K02000001,United Kingdom,overview,2021-01-22,401075
K02000001,United Kingdom,overview,2021-01-21,439408
K02000001,United Kingdom,overview,2021-01-20,434099
K02000001,United Kingdom,overview,2021-01-19,357850
K02000001,United Kingdom,overview,2021-01-18,262499
K02000001,United Kingdom,overview,2021-01-17,320122
K02000001,United Kingdom,overview,2021-01-16,408345
K02000001,United Kingdom,overview,2021-01-15,416812
K02000001,United Kingdom,overview,2021-01-14,526562
K02000001,United Kingdom,overview,2021-01-13,473277
K02000001,United Kingdom,overview,2021-01-12,417070
K02000001,United Kingdom,overview,2021-01-11,325287
K02000001,United Kingdom,overview,2021-01-10,414752
K02000001,United Kingdom,overview,2021-01-09,500720
K02000001,United Kingdom,overview,2021-01-08,544657
K02000001,United Kingdom,overview,2021-01-07,501093
K02000001,United Kingdom,overview,2021-01-06,461690
K02000001,United Kingdom,overview,2021-01-05,400325
K02000001,United Kingdom,overview,2021-01-04,357568
K02000001,United Kingdom,overview,2021-01-03,377037
K02000001,United Kingdom,overview,2021-01-02,363805
K02000001,United Kingdom,overview,2021-01-01,408033
K02000001,United Kingdom,overview,2020-12-31,430117
K02000001,United Kingdom,overview,2020-12-30,363739
K02000001,United Kingdom,overview,2020-12-29,289863
K02000001,United Kingdom,overview,2020-12-28,329910
K02000001,United Kingdom,overview,2020-12-27,333028
K02000001,United Kingdom,overview,2020-12-26,263663
K02000001,United Kingdom,overview,2020-12-25,334434
K02000001,United Kingdom,overview,2020-12-24,428159
K02000001,United Kingdom,overview,2020-12-23,462419
K02000001,United Kingdom,overview,2020-12-22,416533
K02000001,United Kingdom,overview,2020-12-21,393047
K02000001,United Kingdom,overview,2020-12-20,415468
K02000001,United Kingdom,overview,2020-12-19,423456
K02000001,United Kingdom,overview,2020-12-18,362755
K02000001,United Kingdom,overview,2020-12-17,354431
K02000001,United Kingdom,overview,2020-12-16,346426
K02000001,United Kingdom,overview,2020-12-15,286593
K02000001,United Kingdom,overview,2020-12-14,254365
K02000001,United Kingdom,overview,2020-12-13,303646
K02000001,United Kingdom,overview,2020-12-12,347302
K02000001,United Kingdom,overview,2020-12-11,362732
K02000001,United Kingdom,overview,2020-12-10,379522
K02000001,United Kingdom,overview,2020-12-09,330596
K02000001,United Kingdom,overview,2020-12-08,258545
K02000001,United Kingdom,overview,2020-12-07,181493
K02000001,United Kingdom,overview,2020-12-06,251913
K02000001,United Kingdom,overview,2020-12-05,327604
K02000001,United Kingdom,overview,2020-12-04,337482
K02000001,United Kingdom,overview,2020-12-03,354645
K02000001,United Kingdom,overview,2020-12-02,325610
K02000001,United Kingdom,overview,2020-12-01,283038
K02000001,United Kingdom,overview,2020-11-30,185276
K02000001,United Kingdom,overview,2020-11-29,213036
K02000001,United Kingdom,overview,2020-11-28,304710
K02000001,United Kingdom,overview,2020-11-27,322741
K02000001,United Kingdom,overview,2020-11-26,374522
K02000001,United Kingdom,overview,2020-11-25,346677
K02000001,United Kingdom,overview,2020-11-24,303364
K02000001,United Kingdom,overview,2020-11-23,201209
K02000001,United Kingdom,overview,2020-11-22,273820
K02000001,United Kingdom,overview,2020-11-21,362198
K02000001,United Kingdom,overview,2020-11-20,382919
K02000001,United Kingdom,overview,2020-11-19,386825
K02000001,United Kingdom,overview,2020-11-18,356295
K02000001,United Kingdom,overview,2020-11-17,273273
K02000001,United Kingdom,overview,2020-11-16,223912
K02000001,United Kingdom,overview,2020-11-15,278265
K02000001,United Kingdom,overview,2020-11-14,336771
K02000001,United Kingdom,overview,2020-11-13,372178
K02000001,United Kingdom,overview,2020-11-12,369185
K02000001,United Kingdom,overview,2020-11-11,365028
K02000001,United Kingdom,overview,2020-11-10,292419
K02000001,United Kingdom,overview,2020-11-09,234079
K02000001,United Kingdom,overview,2020-11-08,276998
K02000001,United Kingdom,overview,2020-11-07,322043
K02000001,United Kingdom,overview,2020-11-06,350818
K02000001,United Kingdom,overview,2020-11-05,344045
K02000001,United Kingdom,overview,2020-11-04,301131
K02000001,United Kingdom,overview,2020-11-03,265024
K02000001,United Kingdom,overview,2020-11-02,207817
K02000001,United Kingdom,overview,2020-11-01,270473
K02000001,United Kingdom,overview,2020-10-31,292573
K02000001,United Kingdom,overview,2020-10-30,305139
K02000001,United Kingdom,overview,2020-10-29,347626
K02000001,United Kingdom,overview,2020-10-28,308763
K02000001,United Kingdom,overview,2020-10-27,280995
K02000001,United Kingdom,overview,2020-10-26,261855
K02000001,United Kingdom,overview,2020-10-25,321113
K02000001,United Kingdom,overview,2020-10-24,317895
K02000001,United Kingdom,overview,2020-10-23,346671
K02000001,United Kingdom,overview,2020-10-22,340132
K02000001,United Kingdom,overview,2020-10-21,310322
K02000001,United Kingdom,overview,2020-10-20,279996
K02000001,United Kingdom,overview,2020-10-19,260338
K02000001,United Kingdom,overview,2020-10-18,306893
K02000001,United Kingdom,overview,2020-10-17,308416
K02000001,United Kingdom,overview,2020-10-16,312178
K02000001,United Kingdom,overview,2020-10-15,304315
K02000001,United Kingdom,overview,2020-10-14,295690
K02000001,United Kingdom,overview,2020-10-13,264713
K02000001,United Kingdom,overview,2020-10-12,219074
K02000001,United Kingdom,overview,2020-10-11,258955
K02000001,United Kingdom,overview,2020-10-10,279606
K02000001,United Kingdom,overview,2020-10-09,296559
K02000001,United Kingdom,overview,2020-10-08,285015
K02000001,United Kingdom,overview,2020-10-07,254579
K02000001,United Kingdom,overview,2020-10-06,261336
K02000001,United Kingdom,overview,2020-10-05,273100
K02000001,United Kingdom,overview,2020-10-04,250348
K02000001,United Kingdom,overview,2020-10-03,286802
K02000001,United Kingdom,overview,2020-10-02,269820
K02000001,United Kingdom,overview,2020-10-01,264979
K02000001,United Kingdom,overview,2020-09-30,255915
K02000001,United Kingdom,overview,2020-09-29,232212
K02000001,United Kingdom,overview,2020-09-28,227038
K02000001,United Kingdom,overview,2020-09-27,263526
K02000001,United Kingdom,overview,2020-09-26,255488
K02000001,United Kingdom,overview,2020-09-25,288701
K02000001,United Kingdom,overview,2020-09-24,262109
K02000001,United Kingdom,overview,2020-09-23,259221
K02000001,United Kingdom,overview,2020-09-22,234815
K02000001,United Kingdom,overview,2020-09-21,206782
K02000001,United Kingdom,overview,2020-09-20,234786
K02000001,United Kingdom,overview,2020-09-19,250954
K02000001,United Kingdom,overview,2020-09-18,266308
K02000001,United Kingdom,overview,2020-09-17,240202
K02000001,United Kingdom,overview,2020-09-16,242273
K02000001,United Kingdom,overview,2020-09-15,236827
K02000001,United Kingdom,overview,2020-09-14,216526
K02000001,United Kingdom,overview,2020-09-13,225380
K02000001,United Kingdom,overview,2020-09-12,228748
K02000001,United Kingdom,overview,2020-09-11,241650
K02000001,United Kingdom,overview,2020-09-10,233125
K02000001,United Kingdom,overview,2020-09-09,220626
K02000001,United Kingdom,overview,2020-09-08,202809
K02000001,United Kingdom,overview,2020-09-07,201965
K02000001,United Kingdom,overview,2020-09-06,192892
K02000001,United Kingdom,overview,2020-09-05,189054
K02000001,United Kingdom,overview,2020-09-04,202893
K02000001,United Kingdom,overview,2020-09-03,198603
K02000001,United Kingdom,overview,2020-09-02,196734
K02000001,United Kingdom,overview,2020-09-01,171339
K02000001,United Kingdom,overview,2020-08-31,180368
K02000001,United Kingdom,overview,2020-08-30,181038
K02000001,United Kingdom,overview,2020-08-29,180033
K02000001,United Kingdom,overview,2020-08-28,188974
K02000001,United Kingdom,overview,2020-08-27,194522
K02000001,United Kingdom,overview,2020-08-26,206143
K02000001,United Kingdom,overview,2020-08-25,179602
K02000001,United Kingdom,overview,2020-08-24,147940
K02000001,United Kingdom,overview,2020-08-23,165455
K02000001,United Kingdom,overview,2020-08-22,177279
K02000001,United Kingdom,overview,2020-08-21,181878
K02000001,United Kingdom,overview,2020-08-20,174250
K02000001,United Kingdom,overview,2020-08-19,181358
K02000001,United Kingdom,overview,2020-08-18,157194
K02000001,United Kingdom,overview,2020-08-17,146264
K02000001,United Kingdom,overview,2020-08-16,168144
K02000001,United Kingdom,overview,2020-08-15,180197
K02000001,United Kingdom,overview,2020-08-14,170441
K02000001,United Kingdom,overview,2020-08-13,163470
K02000001,United Kingdom,overview,2020-08-12,176489
K02000001,United Kingdom,overview,2020-08-11,157558
K02000001,United Kingdom,overview,2020-08-10,152498
K02000001,United Kingdom,overview,2020-08-09,162990
K02000001,United Kingdom,overview,2020-08-08,160651
K02000001,United Kingdom,overview,2020-08-07,173213
K02000001,United Kingdom,overview,2020-08-06,174833
K02000001,United Kingdom,overview,2020-08-05,161111
K02000001,United Kingdom,overview,2020-08-04,150265
K02000001,United Kingdom,overview,2020-08-03,144999
K02000001,United Kingdom,overview,2020-08-02,145568
K02000001,United Kingdom,overview,2020-08-01,146011
K02000001,United Kingdom,overview,2020-07-31,164748
K02000001,United Kingdom,overview,2020-07-30,170027
K02000001,United Kingdom,overview,2020-07-29,157439
K02000001,United Kingdom,overview,2020-07-28,147818
K02000001,United Kingdom,overview,2020-07-27,89565
K02000001,United Kingdom,overview,2020-07-26,111801
K02000001,United Kingdom,overview,2020-07-25,139062
K02000001,United Kingdom,overview,2020-07-24,147292
K02000001,United Kingdom,overview,2020-07-23,141117
