areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-02-08,4
K02000001,United Kingdom,overview,2020-02-07,0
K02000001,United Kingdom,overview,2020-02-06,0
K02000001,United Kingdom,overview,2020-02-05,1
K02000001,United Kingdom,overview,2020-02-04,0
K02000001,United Kingdom,overview,2020-02-03,0
K02000001,United Kingdom,overview,2020-02-02,0
K02000001,United Kingdom,overview,2020-02-01,0
K02000001,United Kingdom,overview,2020-01-31,0
K02000001,United Kingdom,overview,2020-01-30,2
