areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-04-06,223
K02000001,United Kingdom,overview,2021-04-05,237
K02000001,United Kingdom,overview,2021-04-04,197
K02000001,United Kingdom,overview,2021-04-03,223
K02000001,United Kingdom,overview,2021-04-02,237
K02000001,United Kingdom,overview,2021-04-01,234
K02000001,United Kingdom,overview,2021-03-31,269
K02000001,United Kingdom,overview,2021-03-30,256
K02000001,United Kingdom,overview,2021-03-29,250
K02000001,United Kingdom,overview,2021-03-28,272
K02000001,United Kingdom,overview,2021-03-27,273
K02000001,United Kingdom,overview,2021-03-26,298
K02000001,United Kingdom,overview,2021-03-25,340
K02000001,United Kingdom,overview,2021-03-24,348
K02000001,United Kingdom,overview,2021-03-23,367
K02000001,United Kingdom,overview,2021-03-22,361
K02000001,United Kingdom,overview,2021-03-21,358
K02000001,United Kingdom,overview,2021-03-20,364
K02000001,United Kingdom,overview,2021-03-19,380
K02000001,United Kingdom,overview,2021-03-18,451
K02000001,United Kingdom,overview,2021-03-17,446
K02000001,United Kingdom,overview,2021-03-16,441
K02000001,United Kingdom,overview,2021-03-15,503
K02000001,United Kingdom,overview,2021-03-14,426
K02000001,United Kingdom,overview,2021-03-13,461
K02000001,United Kingdom,overview,2021-03-12,480
K02000001,United Kingdom,overview,2021-03-11,550
K02000001,United Kingdom,overview,2021-03-10,567
K02000001,United Kingdom,overview,2021-03-09,579
K02000001,United Kingdom,overview,2021-03-08,576
K02000001,United Kingdom,overview,2021-03-07,535
K02000001,United Kingdom,overview,2021-03-06,637
K02000001,United Kingdom,overview,2021-03-05,599
K02000001,United Kingdom,overview,2021-03-04,704
K02000001,United Kingdom,overview,2021-03-03,713
K02000001,United Kingdom,overview,2021-03-02,834
K02000001,United Kingdom,overview,2021-03-01,823
K02000001,United Kingdom,overview,2021-02-28,769
K02000001,United Kingdom,overview,2021-02-27,742
K02000001,United Kingdom,overview,2021-02-26,864
K02000001,United Kingdom,overview,2021-02-25,969
K02000001,United Kingdom,overview,2021-02-24,1022
K02000001,United Kingdom,overview,2021-02-23,1120
K02000001,United Kingdom,overview,2021-02-22,1119
K02000001,United Kingdom,overview,2021-02-21,1157
K02000001,United Kingdom,overview,2021-02-20,1091
K02000001,United Kingdom,overview,2021-02-19,1272
