areaCode,areaName,areaType,date,newPillarThreeTestsByPublishDate
K02000001,United Kingdom,overview,2021-04-13,2010
K02000001,United Kingdom,overview,2021-04-12,1874
K02000001,United Kingdom,overview,2021-04-11,515
K02000001,United Kingdom,overview,2021-04-10,915
K02000001,United Kingdom,overview,2021-04-09,2805
K02000001,United Kingdom,overview,2021-04-08,2498
K02000001,United Kingdom,overview,2021-04-07,2354
K02000001,United Kingdom,overview,2021-04-06,2215
K02000001,United Kingdom,overview,2021-04-05,440
K02000001,United Kingdom,overview,2021-04-04,378
K02000001,United Kingdom,overview,2021-04-03,535
K02000001,United Kingdom,overview,2021-04-02,1215
K02000001,United Kingdom,overview,2021-04-01,2520
K02000001,United Kingdom,overview,2021-03-31,2044
K02000001,United Kingdom,overview,2021-03-30,2348
K02000001,United Kingdom,overview,2021-03-29,1329
K02000001,United Kingdom,overview,2021-03-28,2082
K02000001,United Kingdom,overview,2021-03-27,950
K02000001,United Kingdom,overview,2021-03-26,1939
K02000001,United Kingdom,overview,2021-03-25,2379
K02000001,United Kingdom,overview,2021-03-24,2112
K02000001,United Kingdom,overview,2021-03-23,2272
K02000001,United Kingdom,overview,2021-03-22,2602
K02000001,United Kingdom,overview,2021-03-21,1112
K02000001,United Kingdom,overview,2021-03-20,1194
K02000001,United Kingdom,overview,2021-03-19,2694
K02000001,United Kingdom,overview,2021-03-18,2566
K02000001,United Kingdom,overview,2021-03-17,2757
K02000001,United Kingdom,overview,2021-03-16,1987
K02000001,United Kingdom,overview,2021-03-15,1545
K02000001,United Kingdom,overview,2021-03-14,265
K02000001,United Kingdom,overview,2021-03-13,711
K02000001,United Kingdom,overview,2021-03-12,2788
K02000001,United Kingdom,overview,2021-03-11,2490
K02000001,United Kingdom,overview,2021-03-10,3079
K02000001,United Kingdom,overview,2021-03-09,2542
K02000001,United Kingdom,overview,2021-03-08,2052
K02000001,United Kingdom,overview,2021-03-07,646
K02000001,United Kingdom,overview,2021-03-06,665
K02000001,United Kingdom,overview,2021-03-05,2757
K02000001,United Kingdom,overview,2021-03-04,2635
K02000001,United Kingdom,overview,2021-03-03,2394
K02000001,United Kingdom,overview,2021-03-02,2200
K02000001,United Kingdom,overview,2021-03-01,1488
K02000001,United Kingdom,overview,2021-02-28,469
K02000001,United Kingdom,overview,2021-02-27,1025
K02000001,United Kingdom,overview,2021-02-26,2112
K02000001,United Kingdom,overview,2021-02-25,3678
K02000001,United Kingdom,overview,2021-02-24,2236
K02000001,United Kingdom,overview,2021-02-23,2270
K02000001,United Kingdom,overview,2021-02-22,2114
K02000001,United Kingdom,overview,2021-02-21,454
K02000001,United Kingdom,overview,2021-02-20,846
K02000001,United Kingdom,overview,2021-02-19,2100
K02000001,United Kingdom,overview,2021-02-18,3019
K02000001,United Kingdom,overview,2021-02-17,2490
K02000001,United Kingdom,overview,2021-02-16,2683
K02000001,United Kingdom,overview,2021-02-15,1859
K02000001,United Kingdom,overview,2021-02-14,439
K02000001,United Kingdom,overview,2021-02-13,2614
K02000001,United Kingdom,overview,2021-02-12,3637
K02000001,United Kingdom,overview,2021-02-11,2432
K02000001,United Kingdom,overview,2021-02-10,2776
K02000001,United Kingdom,overview,2021-02-09,2545
K02000001,United Kingdom,overview,2021-02-08,2202
K02000001,United Kingdom,overview,2021-02-07,537
K02000001,United Kingdom,overview,2021-02-06,904
K02000001,United Kingdom,overview,2021-02-05,2803
K02000001,United Kingdom,overview,2021-02-04,3004
K02000001,United Kingdom,overview,2021-02-03,2996
K02000001,United Kingdom,overview,2021-02-02,2579
K02000001,United Kingdom,overview,2021-02-01,1931
K02000001,United Kingdom,overview,2021-01-31,672
K02000001,United Kingdom,overview,2021-01-30,1880
K02000001,United Kingdom,overview,2021-01-29,3887
K02000001,United Kingdom,overview,2021-01-28,2974
K02000001,United Kingdom,overview,2021-01-27,2896
K02000001,United Kingdom,overview,2021-01-26,2445
K02000001,United Kingdom,overview,2021-01-25,2330
K02000001,United Kingdom,overview,2021-01-24,571
K02000001,United Kingdom,overview,2021-01-23,745
K02000001,United Kingdom,overview,2021-01-22,2485
K02000001,United Kingdom,overview,2021-01-21,2803
K02000001,United Kingdom,overview,2021-01-20,2842
K02000001,United Kingdom,overview,2021-01-19,2506
K02000001,United Kingdom,overview,2021-01-18,2993
K02000001,United Kingdom,overview,2021-01-17,636
K02000001,United Kingdom,overview,2021-01-16,640
K02000001,United Kingdom,overview,2021-01-15,2831
K02000001,United Kingdom,overview,2021-01-14,3009
K02000001,United Kingdom,overview,2021-01-13,2781
K02000001,United Kingdom,overview,2021-01-12,2763
K02000001,United Kingdom,overview,2021-01-11,1922
K02000001,United Kingdom,overview,2021-01-10,575
K02000001,United Kingdom,overview,2021-01-09,946
K02000001,United Kingdom,overview,2021-01-08,2570
K02000001,United Kingdom,overview,2021-01-07,3490
K02000001,United Kingdom,overview,2021-01-06,3206
K02000001,United Kingdom,overview,2021-01-05,2522
K02000001,United Kingdom,overview,2021-01-04,1989
K02000001,United Kingdom,overview,2021-01-03,718
K02000001,United Kingdom,overview,2021-01-02,550
K02000001,United Kingdom,overview,2021-01-01,596
K02000001,United Kingdom,overview,2020-12-31,2974
K02000001,United Kingdom,overview,2020-12-30,2448
