areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2021-04-13,2408
K02000001,United Kingdom,overview,2021-04-12,2492
K02000001,United Kingdom,overview,2021-04-11,2549
K02000001,United Kingdom,overview,2021-04-10,2650
K02000001,United Kingdom,overview,2021-04-09,2793
K02000001,United Kingdom,overview,2021-04-08,2872
K02000001,United Kingdom,overview,2021-04-07,3019
K02000001,United Kingdom,overview,2021-04-06,3143
K02000001,United Kingdom,overview,2021-04-05,3255
K02000001,United Kingdom,overview,2021-04-04,3229
K02000001,United Kingdom,overview,2021-04-03,3244
K02000001,United Kingdom,overview,2021-04-02,3376
K02000001,United Kingdom,overview,2021-04-01,3557
K02000001,United Kingdom,overview,2021-03-31,3742
K02000001,United Kingdom,overview,2021-03-30,3976
K02000001,United Kingdom,overview,2021-03-29,4197
K02000001,United Kingdom,overview,2021-03-28,4185
K02000001,United Kingdom,overview,2021-03-27,4436
K02000001,United Kingdom,overview,2021-03-26,4485
K02000001,United Kingdom,overview,2021-03-25,4583
K02000001,United Kingdom,overview,2021-03-24,4880
K02000001,United Kingdom,overview,2021-03-23,5150
K02000001,United Kingdom,overview,2021-03-22,5431
K02000001,United Kingdom,overview,2021-03-21,5448
K02000001,United Kingdom,overview,2021-03-20,5567
K02000001,United Kingdom,overview,2021-03-19,5880
K02000001,United Kingdom,overview,2021-03-18,6150
K02000001,United Kingdom,overview,2021-03-17,6585
K02000001,United Kingdom,overview,2021-03-16,6847
K02000001,United Kingdom,overview,2021-03-15,7207
K02000001,United Kingdom,overview,2021-03-14,7315
K02000001,United Kingdom,overview,2021-03-13,7384
K02000001,United Kingdom,overview,2021-03-12,7728
K02000001,United Kingdom,overview,2021-03-11,8066
K02000001,United Kingdom,overview,2021-03-10,8436
K02000001,United Kingdom,overview,2021-03-09,9009
K02000001,United Kingdom,overview,2021-03-08,9474
K02000001,United Kingdom,overview,2021-03-07,9459
K02000001,United Kingdom,overview,2021-03-06,9711
K02000001,United Kingdom,overview,2021-03-05,10312
K02000001,United Kingdom,overview,2021-03-04,10933
K02000001,United Kingdom,overview,2021-03-03,11523
K02000001,United Kingdom,overview,2021-03-02,12139
K02000001,United Kingdom,overview,2021-03-01,12894
K02000001,United Kingdom,overview,2021-02-28,12788
K02000001,United Kingdom,overview,2021-02-27,13269
K02000001,United Kingdom,overview,2021-02-26,14077
K02000001,United Kingdom,overview,2021-02-25,14849
K02000001,United Kingdom,overview,2021-02-24,15534
K02000001,United Kingdom,overview,2021-02-23,16115
K02000001,United Kingdom,overview,2021-02-22,16855
K02000001,United Kingdom,overview,2021-02-21,16857
K02000001,United Kingdom,overview,2021-02-20,17042
K02000001,United Kingdom,overview,2021-02-19,17860
K02000001,United Kingdom,overview,2021-02-18,18522
K02000001,United Kingdom,overview,2021-02-17,19449
K02000001,United Kingdom,overview,2021-02-16,20215
K02000001,United Kingdom,overview,2021-02-15,20994
K02000001,United Kingdom,overview,2021-02-14,21054
K02000001,United Kingdom,overview,2021-02-13,20970
K02000001,United Kingdom,overview,2021-02-12,22324
K02000001,United Kingdom,overview,2021-02-11,23411
K02000001,United Kingdom,overview,2021-02-10,24417
K02000001,United Kingdom,overview,2021-02-09,25689
K02000001,United Kingdom,overview,2021-02-08,26744
K02000001,United Kingdom,overview,2021-02-07,26801
