areaCode,areaName,areaType,date,newPillarOneTestsByPublishDate
K02000001,United Kingdom,overview,2021-04-15,80590
K02000001,United Kingdom,overview,2021-04-14,96369
K02000001,United Kingdom,overview,2021-04-13,107833
K02000001,United Kingdom,overview,2021-04-12,78050
K02000001,United Kingdom,overview,2021-04-11,63116
K02000001,United Kingdom,overview,2021-04-10,76902
K02000001,United Kingdom,overview,2021-04-09,86601
K02000001,United Kingdom,overview,2021-04-08,89955
K02000001,United Kingdom,overview,2021-04-07,94267
K02000001,United Kingdom,overview,2021-04-06,91304
K02000001,United Kingdom,overview,2021-04-05,73114
K02000001,United Kingdom,overview,2021-04-04,63581
K02000001,United Kingdom,overview,2021-04-03,58798
K02000001,United Kingdom,overview,2021-04-02,61714
K02000001,United Kingdom,overview,2021-04-01,87942
K02000001,United Kingdom,overview,2021-03-31,89400
K02000001,United Kingdom,overview,2021-03-30,99618
K02000001,United Kingdom,overview,2021-03-29,81847
K02000001,United Kingdom,overview,2021-03-28,63107
K02000001,United Kingdom,overview,2021-03-27,70434
K02000001,United Kingdom,overview,2021-03-26,81709
K02000001,United Kingdom,overview,2021-03-25,88733
K02000001,United Kingdom,overview,2021-03-24,99648
K02000001,United Kingdom,overview,2021-03-23,98886
K02000001,United Kingdom,overview,2021-03-22,78604
K02000001,United Kingdom,overview,2021-03-21,66520
K02000001,United Kingdom,overview,2021-03-20,69424
K02000001,United Kingdom,overview,2021-03-19,79117
K02000001,United Kingdom,overview,2021-03-18,88341
K02000001,United Kingdom,overview,2021-03-17,96221
K02000001,United Kingdom,overview,2021-03-16,98430
K02000001,United Kingdom,overview,2021-03-15,72576
K02000001,United Kingdom,overview,2021-03-14,65347
K02000001,United Kingdom,overview,2021-03-13,69053
K02000001,United Kingdom,overview,2021-03-12,79916
K02000001,United Kingdom,overview,2021-03-11,85550
K02000001,United Kingdom,overview,2021-03-10,98702
K02000001,United Kingdom,overview,2021-03-09,89309
K02000001,United Kingdom,overview,2021-03-08,77360
K02000001,United Kingdom,overview,2021-03-07,60812
K02000001,United Kingdom,overview,2021-03-06,71310
K02000001,United Kingdom,overview,2021-03-05,84098
K02000001,United Kingdom,overview,2021-03-04,82292
K02000001,United Kingdom,overview,2021-03-03,99065
K02000001,United Kingdom,overview,2021-03-02,95607
K02000001,United Kingdom,overview,2021-03-01,72446
K02000001,United Kingdom,overview,2021-02-28,57753
K02000001,United Kingdom,overview,2021-02-27,72841
K02000001,United Kingdom,overview,2021-02-26,80864
K02000001,United Kingdom,overview,2021-02-25,83691
K02000001,United Kingdom,overview,2021-02-24,96556
K02000001,United Kingdom,overview,2021-02-23,94988
K02000001,United Kingdom,overview,2021-02-22,75839
K02000001,United Kingdom,overview,2021-02-21,60522
K02000001,United Kingdom,overview,2021-02-20,75205
K02000001,United Kingdom,overview,2021-02-19,79716
K02000001,United Kingdom,overview,2021-02-18,81500
K02000001,United Kingdom,overview,2021-02-17,95596
K02000001,United Kingdom,overview,2021-02-16,97222
K02000001,United Kingdom,overview,2021-02-15,79119
K02000001,United Kingdom,overview,2021-02-14,53954
K02000001,United Kingdom,overview,2021-02-13,60154
K02000001,United Kingdom,overview,2021-02-12,82616
K02000001,United Kingdom,overview,2021-02-11,82093
K02000001,United Kingdom,overview,2021-02-10,98895
K02000001,United Kingdom,overview,2021-02-09,99334
K02000001,United Kingdom,overview,2021-02-08,70702
K02000001,United Kingdom,overview,2021-02-07,62780
K02000001,United Kingdom,overview,2021-02-06,69411
K02000001,United Kingdom,overview,2021-02-05,83450
K02000001,United Kingdom,overview,2021-02-04,93084
K02000001,United Kingdom,overview,2021-02-03,100517
K02000001,United Kingdom,overview,2021-02-02,90618
K02000001,United Kingdom,overview,2021-02-01,73060
K02000001,United Kingdom,overview,2021-01-31,60479
K02000001,United Kingdom,overview,2021-01-30,73203
K02000001,United Kingdom,overview,2021-01-29,91587
K02000001,United Kingdom,overview,2021-01-28,92130
K02000001,United Kingdom,overview,2021-01-27,103461
K02000001,United Kingdom,overview,2021-01-26,101514
K02000001,United Kingdom,overview,2021-01-25,73497
K02000001,United Kingdom,overview,2021-01-24,60360
K02000001,United Kingdom,overview,2021-01-23,83930
K02000001,United Kingdom,overview,2021-01-22,79827
K02000001,United Kingdom,overview,2021-01-21,96800
K02000001,United Kingdom,overview,2021-01-20,104582
K02000001,United Kingdom,overview,2021-01-19,97952
K02000001,United Kingdom,overview,2021-01-18,69517
K02000001,United Kingdom,overview,2021-01-17,63053
K02000001,United Kingdom,overview,2021-01-16,79605
K02000001,United Kingdom,overview,2021-01-15,85313
K02000001,United Kingdom,overview,2021-01-14,84870
K02000001,United Kingdom,overview,2021-01-13,94843
K02000001,United Kingdom,overview,2021-01-12,99235
K02000001,United Kingdom,overview,2021-01-11,73163
K02000001,United Kingdom,overview,2021-01-10,70373
K02000001,United Kingdom,overview,2021-01-09,80508
K02000001,United Kingdom,overview,2021-01-08,89752
K02000001,United Kingdom,overview,2021-01-07,97158
K02000001,United Kingdom,overview,2021-01-06,94932
K02000001,United Kingdom,overview,2021-01-05,100110
K02000001,United Kingdom,overview,2021-01-04,72190
K02000001,United Kingdom,overview,2021-01-03,62391
K02000001,United Kingdom,overview,2021-01-02,64718
K02000001,United Kingdom,overview,2021-01-01,59346
K02000001,United Kingdom,overview,2020-12-31,79254
K02000001,United Kingdom,overview,2020-12-30,83792
K02000001,United Kingdom,overview,2020-12-29,65937
K02000001,United Kingdom,overview,2020-12-28,57893
K02000001,United Kingdom,overview,2020-12-27,53061
K02000001,United Kingdom,overview,2020-12-26,45832
K02000001,United Kingdom,overview,2020-12-25,44400
K02000001,United Kingdom,overview,2020-12-24,79218
K02000001,United Kingdom,overview,2020-12-23,87735
K02000001,United Kingdom,overview,2020-12-22,91358
K02000001,United Kingdom,overview,2020-12-21,68678
K02000001,United Kingdom,overview,2020-12-20,68750
K02000001,United Kingdom,overview,2020-12-19,85095
K02000001,United Kingdom,overview,2020-12-18,86552
K02000001,United Kingdom,overview,2020-12-17,91519
K02000001,United Kingdom,overview,2020-12-16,93680
K02000001,United Kingdom,overview,2020-12-15,96381
K02000001,United Kingdom,overview,2020-12-14,74189
K02000001,United Kingdom,overview,2020-12-13,67277
K02000001,United Kingdom,overview,2020-12-12,74650
K02000001,United Kingdom,overview,2020-12-11,86426
K02000001,United Kingdom,overview,2020-12-10,89800
K02000001,United Kingdom,overview,2020-12-09,94192
K02000001,United Kingdom,overview,2020-12-08,88307
K02000001,United Kingdom,overview,2020-12-07,69258
K02000001,United Kingdom,overview,2020-12-06,62236
K02000001,United Kingdom,overview,2020-12-05,77373
