areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,2021-04-09,405
K02000001,United Kingdom,overview,2021-04-08,421
K02000001,United Kingdom,overview,2021-04-07,440
K02000001,United Kingdom,overview,2021-04-06,453
K02000001,United Kingdom,overview,2021-04-05,461
K02000001,United Kingdom,overview,2021-04-04,469
K02000001,United Kingdom,overview,2021-04-03,478
K02000001,United Kingdom,overview,2021-04-02,485
K02000001,United Kingdom,overview,2021-04-01,517
K02000001,United Kingdom,overview,2021-03-31,547
K02000001,United Kingdom,overview,2021-03-30,568
K02000001,United Kingdom,overview,2021-03-29,583
K02000001,United Kingdom,overview,2021-03-28,582
K02000001,United Kingdom,overview,2021-03-27,594
K02000001,United Kingdom,overview,2021-03-26,615
K02000001,United Kingdom,overview,2021-03-25,630
K02000001,United Kingdom,overview,2021-03-24,682
K02000001,United Kingdom,overview,2021-03-23,711
K02000001,United Kingdom,overview,2021-03-22,748
K02000001,United Kingdom,overview,2021-03-21,768
K02000001,United Kingdom,overview,2021-03-20,787
K02000001,United Kingdom,overview,2021-03-19,830
K02000001,United Kingdom,overview,2021-03-18,879
K02000001,United Kingdom,overview,2021-03-17,925
K02000001,United Kingdom,overview,2021-03-16,968
K02000001,United Kingdom,overview,2021-03-15,1016
K02000001,United Kingdom,overview,2021-03-14,1049
K02000001,United Kingdom,overview,2021-03-13,1087
K02000001,United Kingdom,overview,2021-03-12,1110
K02000001,United Kingdom,overview,2021-03-11,1192
K02000001,United Kingdom,overview,2021-03-10,1236
K02000001,United Kingdom,overview,2021-03-09,1292
K02000001,United Kingdom,overview,2021-03-08,1356
K02000001,United Kingdom,overview,2021-03-07,1394
K02000001,United Kingdom,overview,2021-03-06,1449
K02000001,United Kingdom,overview,2021-03-05,1542
K02000001,United Kingdom,overview,2021-03-04,1589
K02000001,United Kingdom,overview,2021-03-03,1647
K02000001,United Kingdom,overview,2021-03-02,1709
K02000001,United Kingdom,overview,2021-03-01,1806
K02000001,United Kingdom,overview,2021-02-28,1783
K02000001,United Kingdom,overview,2021-02-27,1903
K02000001,United Kingdom,overview,2021-02-26,1971
K02000001,United Kingdom,overview,2021-02-25,2047
K02000001,United Kingdom,overview,2021-02-24,2118
K02000001,United Kingdom,overview,2021-02-23,2149
K02000001,United Kingdom,overview,2021-02-22,2273
K02000001,United Kingdom,overview,2021-02-21,2329
K02000001,United Kingdom,overview,2021-02-20,2358
K02000001,United Kingdom,overview,2021-02-19,2469
K02000001,United Kingdom,overview,2021-02-18,2535
K02000001,United Kingdom,overview,2021-02-17,2614
K02000001,United Kingdom,overview,2021-02-16,2708
K02000001,United Kingdom,overview,2021-02-15,2805
K02000001,United Kingdom,overview,2021-02-14,2851
K02000001,United Kingdom,overview,2021-02-13,2842
K02000001,United Kingdom,overview,2021-02-12,2943
K02000001,United Kingdom,overview,2021-02-11,3036
K02000001,United Kingdom,overview,2021-02-10,3132
K02000001,United Kingdom,overview,2021-02-09,3164
K02000001,United Kingdom,overview,2021-02-08,3230
K02000001,United Kingdom,overview,2021-02-07,3302
K02000001,United Kingdom,overview,2021-02-06,3373
K02000001,United Kingdom,overview,2021-02-05,3505
K02000001,United Kingdom,overview,2021-02-04,3572
K02000001,United Kingdom,overview,2021-02-03,3628
K02000001,United Kingdom,overview,2021-02-02,3635
K02000001,United Kingdom,overview,2021-02-01,3726
K02000001,United Kingdom,overview,2021-01-31,3687
K02000001,United Kingdom,overview,2021-01-30,3806
K02000001,United Kingdom,overview,2021-01-29,3832
K02000001,United Kingdom,overview,2021-01-28,3918
K02000001,United Kingdom,overview,2021-01-27,3937
K02000001,United Kingdom,overview,2021-01-26,3961
K02000001,United Kingdom,overview,2021-01-25,4032
K02000001,United Kingdom,overview,2021-01-24,4077
K02000001,United Kingdom,overview,2021-01-23,4066
K02000001,United Kingdom,overview,2021-01-22,4076
K02000001,United Kingdom,overview,2021-01-21,3960
K02000001,United Kingdom,overview,2021-01-20,3953
K02000001,United Kingdom,overview,2021-01-19,3947
K02000001,United Kingdom,overview,2021-01-18,3916
K02000001,United Kingdom,overview,2021-01-17,3871
K02000001,United Kingdom,overview,2021-01-16,3854
K02000001,United Kingdom,overview,2021-01-15,3789
K02000001,United Kingdom,overview,2021-01-14,3672
K02000001,United Kingdom,overview,2021-01-13,3626
K02000001,United Kingdom,overview,2021-01-12,3496
K02000001,United Kingdom,overview,2021-01-11,3363
K02000001,United Kingdom,overview,2021-01-10,3264
K02000001,United Kingdom,overview,2021-01-09,3145
K02000001,United Kingdom,overview,2021-01-08,3098
K02000001,United Kingdom,overview,2021-01-07,2929
K02000001,United Kingdom,overview,2021-01-06,2821
K02000001,United Kingdom,overview,2021-01-05,2645
K02000001,United Kingdom,overview,2021-01-04,2560
K02000001,United Kingdom,overview,2021-01-03,2420
K02000001,United Kingdom,overview,2021-01-02,2256
K02000001,United Kingdom,overview,2021-01-01,2162
K02000001,United Kingdom,overview,2020-12-31,2122
K02000001,United Kingdom,overview,2020-12-30,2066
K02000001,United Kingdom,overview,2020-12-29,1939
K02000001,United Kingdom,overview,2020-12-28,1847
K02000001,United Kingdom,overview,2020-12-27,1751
K02000001,United Kingdom,overview,2020-12-26,1682
K02000001,United Kingdom,overview,2020-12-25,1616
K02000001,United Kingdom,overview,2020-12-24,1607
K02000001,United Kingdom,overview,2020-12-23,1554
K02000001,United Kingdom,overview,2020-12-22,1529
K02000001,United Kingdom,overview,2020-12-21,1512
K02000001,United Kingdom,overview,2020-12-20,1442
K02000001,United Kingdom,overview,2020-12-19,1412
K02000001,United Kingdom,overview,2020-12-18,1364
K02000001,United Kingdom,overview,2020-12-17,1366
K02000001,United Kingdom,overview,2020-12-16,1340
K02000001,United Kingdom,overview,2020-12-15,1326
K02000001,United Kingdom,overview,2020-12-14,1288
K02000001,United Kingdom,overview,2020-12-13,1281
K02000001,United Kingdom,overview,2020-12-12,1243
K02000001,United Kingdom,overview,2020-12-11,1275
K02000001,United Kingdom,overview,2020-12-10,1267
K02000001,United Kingdom,overview,2020-12-09,1243
K02000001,United Kingdom,overview,2020-12-08,1272
K02000001,United Kingdom,overview,2020-12-07,1271
K02000001,United Kingdom,overview,2020-12-06,1249
K02000001,United Kingdom,overview,2020-12-05,1247
K02000001,United Kingdom,overview,2020-12-04,1274
K02000001,United Kingdom,overview,2020-12-03,1261
K02000001,United Kingdom,overview,2020-12-02,1315
K02000001,United Kingdom,overview,2020-12-01,1351
K02000001,United Kingdom,overview,2020-11-30,1357
K02000001,United Kingdom,overview,2020-11-29,1387
K02000001,United Kingdom,overview,2020-11-28,1378
K02000001,United Kingdom,overview,2020-11-27,1417
K02000001,United Kingdom,overview,2020-11-26,1456
K02000001,United Kingdom,overview,2020-11-25,1480
K02000001,United Kingdom,overview,2020-11-24,1489
K02000001,United Kingdom,overview,2020-11-23,1487
K02000001,United Kingdom,overview,2020-11-22,1454
K02000001,United Kingdom,overview,2020-11-21,1447
K02000001,United Kingdom,overview,2020-11-20,1422
K02000001,United Kingdom,overview,2020-11-19,1426
K02000001,United Kingdom,overview,2020-11-18,1430
K02000001,United Kingdom,overview,2020-11-17,1420
K02000001,United Kingdom,overview,2020-11-16,1391
K02000001,United Kingdom,overview,2020-11-15,1397
K02000001,United Kingdom,overview,2020-11-14,1365
K02000001,United Kingdom,overview,2020-11-13,1355
K02000001,United Kingdom,overview,2020-11-12,1275
K02000001,United Kingdom,overview,2020-11-11,1268
K02000001,United Kingdom,overview,2020-11-10,1219
K02000001,United Kingdom,overview,2020-11-09,1271
K02000001,United Kingdom,overview,2020-11-08,1232
K02000001,United Kingdom,overview,2020-11-07,1207
K02000001,United Kingdom,overview,2020-11-06,1187
K02000001,United Kingdom,overview,2020-11-05,1183
K02000001,United Kingdom,overview,2020-11-04,1193
K02000001,United Kingdom,overview,2020-11-03,1144
K02000001,United Kingdom,overview,2020-11-02,1075
K02000001,United Kingdom,overview,2020-11-01,979
K02000001,United Kingdom,overview,2020-10-31,1003
K02000001,United Kingdom,overview,2020-10-30,979
K02000001,United Kingdom,overview,2020-10-29,974
K02000001,United Kingdom,overview,2020-10-28,957
K02000001,United Kingdom,overview,2020-10-27,903
K02000001,United Kingdom,overview,2020-10-26,853
K02000001,United Kingdom,overview,2020-10-25,828
K02000001,United Kingdom,overview,2020-10-24,788
K02000001,United Kingdom,overview,2020-10-23,744
K02000001,United Kingdom,overview,2020-10-22,708
K02000001,United Kingdom,overview,2020-10-21,712
K02000001,United Kingdom,overview,2020-10-20,698
K02000001,United Kingdom,overview,2020-10-19,658
K02000001,United Kingdom,overview,2020-10-18,630
K02000001,United Kingdom,overview,2020-10-17,614
K02000001,United Kingdom,overview,2020-10-16,592
K02000001,United Kingdom,overview,2020-10-15,581
K02000001,United Kingdom,overview,2020-10-14,563
K02000001,United Kingdom,overview,2020-10-13,516
K02000001,United Kingdom,overview,2020-10-12,507
K02000001,United Kingdom,overview,2020-10-11,477
K02000001,United Kingdom,overview,2020-10-10,469
K02000001,United Kingdom,overview,2020-10-09,440
K02000001,United Kingdom,overview,2020-10-08,436
K02000001,United Kingdom,overview,2020-10-07,442
K02000001,United Kingdom,overview,2020-10-06,410
K02000001,United Kingdom,overview,2020-10-05,393
K02000001,United Kingdom,overview,2020-10-04,369
K02000001,United Kingdom,overview,2020-10-03,369
K02000001,United Kingdom,overview,2020-10-02,369
K02000001,United Kingdom,overview,2020-10-01,341
K02000001,United Kingdom,overview,2020-09-30,333
K02000001,United Kingdom,overview,2020-09-29,314
K02000001,United Kingdom,overview,2020-09-28,297
K02000001,United Kingdom,overview,2020-09-27,276
K02000001,United Kingdom,overview,2020-09-26,261
K02000001,United Kingdom,overview,2020-09-25,262
K02000001,United Kingdom,overview,2020-09-24,243
K02000001,United Kingdom,overview,2020-09-23,228
K02000001,United Kingdom,overview,2020-09-22,211
K02000001,United Kingdom,overview,2020-09-21,181
K02000001,United Kingdom,overview,2020-09-20,165
K02000001,United Kingdom,overview,2020-09-19,144
K02000001,United Kingdom,overview,2020-09-18,138
K02000001,United Kingdom,overview,2020-09-17,127
K02000001,United Kingdom,overview,2020-09-16,124
K02000001,United Kingdom,overview,2020-09-15,115
K02000001,United Kingdom,overview,2020-09-14,105
K02000001,United Kingdom,overview,2020-09-13,92
K02000001,United Kingdom,overview,2020-09-12,86
K02000001,United Kingdom,overview,2020-09-11,143
K02000001,United Kingdom,overview,2020-09-10,78
K02000001,United Kingdom,overview,2020-09-09,80
K02000001,United Kingdom,overview,2020-09-08,80
K02000001,United Kingdom,overview,2020-09-07,77
K02000001,United Kingdom,overview,2020-09-06,69
K02000001,United Kingdom,overview,2020-09-05,67
K02000001,United Kingdom,overview,2020-09-04,69
K02000001,United Kingdom,overview,2020-09-03,76
K02000001,United Kingdom,overview,2020-09-02,81
K02000001,United Kingdom,overview,2020-09-01,82
K02000001,United Kingdom,overview,2020-08-31,71
K02000001,United Kingdom,overview,2020-08-30,68
K02000001,United Kingdom,overview,2020-08-29,66
K02000001,United Kingdom,overview,2020-08-28,60
K02000001,United Kingdom,overview,2020-08-27,71
K02000001,United Kingdom,overview,2020-08-26,64
K02000001,United Kingdom,overview,2020-08-25,68
K02000001,United Kingdom,overview,2020-08-24,68
K02000001,United Kingdom,overview,2020-08-23,72
K02000001,United Kingdom,overview,2020-08-22,71
K02000001,United Kingdom,overview,2020-08-21,72
K02000001,United Kingdom,overview,2020-08-20,76
K02000001,United Kingdom,overview,2020-08-19,70
K02000001,United Kingdom,overview,2020-08-18,73
K02000001,United Kingdom,overview,2020-08-17,73
K02000001,United Kingdom,overview,2020-08-16,78
K02000001,United Kingdom,overview,2020-08-15,76
K02000001,United Kingdom,overview,2020-08-14,73
K02000001,United Kingdom,overview,2020-08-13,75
K02000001,United Kingdom,overview,2020-08-12,80
K02000001,United Kingdom,overview,2020-08-11,73
K02000001,United Kingdom,overview,2020-08-10,70
K02000001,United Kingdom,overview,2020-08-09,65
K02000001,United Kingdom,overview,2020-08-08,62
K02000001,United Kingdom,overview,2020-08-07,67
K02000001,United Kingdom,overview,2020-08-06,69
K02000001,United Kingdom,overview,2020-08-05,73
K02000001,United Kingdom,overview,2020-08-04,76
K02000001,United Kingdom,overview,2020-08-03,77
K02000001,United Kingdom,overview,2020-08-02,85
K02000001,United Kingdom,overview,2020-08-01,92
K02000001,United Kingdom,overview,2020-07-31,86
K02000001,United Kingdom,overview,2020-07-30,84
K02000001,United Kingdom,overview,2020-07-29,87
K02000001,United Kingdom,overview,2020-07-28,93
K02000001,United Kingdom,overview,2020-07-27,97
K02000001,United Kingdom,overview,2020-07-26,92
K02000001,United Kingdom,overview,2020-07-25,93
K02000001,United Kingdom,overview,2020-07-24,104
K02000001,United Kingdom,overview,2020-07-23,111
K02000001,United Kingdom,overview,2020-07-22,110
K02000001,United Kingdom,overview,2020-07-21,137
K02000001,United Kingdom,overview,2020-07-20,129
K02000001,United Kingdom,overview,2020-07-19,131
