areaCode,areaName,areaType,date,newTestsByPublishDate
K02000001,United Kingdom,overview,2021-04-16,684189
K02000001,United Kingdom,overview,2021-04-15,992807
K02000001,United Kingdom,overview,2021-04-14,1168192
K02000001,United Kingdom,overview,2021-04-13,682862
K02000001,United Kingdom,overview,2021-04-12,877791
K02000001,United Kingdom,overview,2021-04-11,1218552
K02000001,United Kingdom,overview,2021-04-10,483068
K02000001,United Kingdom,overview,2021-04-09,681297
K02000001,United Kingdom,overview,2021-04-08,936812
K02000001,United Kingdom,overview,2021-04-07,1039192
K02000001,United Kingdom,overview,2021-04-06,634153
K02000001,United Kingdom,overview,2021-04-05,741763
K02000001,United Kingdom,overview,2021-04-04,814071
K02000001,United Kingdom,overview,2021-04-03,406169
K02000001,United Kingdom,overview,2021-04-02,556828
K02000001,United Kingdom,overview,2021-04-01,958137
K02000001,United Kingdom,overview,2021-03-31,1270360
K02000001,United Kingdom,overview,2021-03-30,699719
K02000001,United Kingdom,overview,2021-03-29,973736
K02000001,United Kingdom,overview,2021-03-28,1644148
K02000001,United Kingdom,overview,2021-03-27,473160
K02000001,United Kingdom,overview,2021-03-26,725579
K02000001,United Kingdom,overview,2021-03-25,1279174
K02000001,United Kingdom,overview,2021-03-24,1818237
K02000001,United Kingdom,overview,2021-03-23,845038
K02000001,United Kingdom,overview,2021-03-22,1196917
K02000001,United Kingdom,overview,2021-03-21,1895354
K02000001,United Kingdom,overview,2021-03-20,475092
K02000001,United Kingdom,overview,2021-03-19,939184
K02000001,United Kingdom,overview,2021-03-18,1441339
K02000001,United Kingdom,overview,2021-03-17,1640094
K02000001,United Kingdom,overview,2021-03-16,1323002
K02000001,United Kingdom,overview,2021-03-15,1576163
K02000001,United Kingdom,overview,2021-03-14,965392
K02000001,United Kingdom,overview,2021-03-13,438669
K02000001,United Kingdom,overview,2021-03-12,1407405
K02000001,United Kingdom,overview,2021-03-11,1618359
K02000001,United Kingdom,overview,2021-03-10,1559527
K02000001,United Kingdom,overview,2021-03-09,1377124
K02000001,United Kingdom,overview,2021-03-08,1531641
K02000001,United Kingdom,overview,2021-03-07,806390
K02000001,United Kingdom,overview,2021-03-06,453415
K02000001,United Kingdom,overview,2021-03-05,956477
K02000001,United Kingdom,overview,2021-03-04,995486
K02000001,United Kingdom,overview,2021-03-03,866052
K02000001,United Kingdom,overview,2021-03-02,677836
K02000001,United Kingdom,overview,2021-03-01,729638
K02000001,United Kingdom,overview,2021-02-28,527164
K02000001,United Kingdom,overview,2021-02-27,384989
K02000001,United Kingdom,overview,2021-02-26,607740
K02000001,United Kingdom,overview,2021-02-25,735406
K02000001,United Kingdom,overview,2021-02-24,743257
K02000001,United Kingdom,overview,2021-02-23,597245
K02000001,United Kingdom,overview,2021-02-22,672823
K02000001,United Kingdom,overview,2021-02-21,591128
K02000001,United Kingdom,overview,2021-02-20,409074
K02000001,United Kingdom,overview,2021-02-19,524487
K02000001,United Kingdom,overview,2021-02-18,565124
K02000001,United Kingdom,overview,2021-02-17,582210
K02000001,United Kingdom,overview,2021-02-16,492124
K02000001,United Kingdom,overview,2021-02-15,459644
K02000001,United Kingdom,overview,2021-02-14,402225
K02000001,United Kingdom,overview,2021-02-13,406615
K02000001,United Kingdom,overview,2021-02-12,631005
K02000001,United Kingdom,overview,2021-02-11,733084
K02000001,United Kingdom,overview,2021-02-10,766660
K02000001,United Kingdom,overview,2021-02-09,581811
K02000001,United Kingdom,overview,2021-02-08,621134
K02000001,United Kingdom,overview,2021-02-07,587273
K02000001,United Kingdom,overview,2021-02-06,456445
K02000001,United Kingdom,overview,2021-02-05,676433
K02000001,United Kingdom,overview,2021-02-04,791837
K02000001,United Kingdom,overview,2021-02-03,808835
K02000001,United Kingdom,overview,2021-02-02,615320
K02000001,United Kingdom,overview,2021-02-01,655653
K02000001,United Kingdom,overview,2021-01-31,582293
K02000001,United Kingdom,overview,2021-01-30,450608
K02000001,United Kingdom,overview,2021-01-29,679107
K02000001,United Kingdom,overview,2021-01-28,779459
K02000001,United Kingdom,overview,2021-01-27,818456
K02000001,United Kingdom,overview,2021-01-26,646145
K02000001,United Kingdom,overview,2021-01-25,546734
K02000001,United Kingdom,overview,2021-01-24,412775
K02000001,United Kingdom,overview,2021-01-23,486425
K02000001,United Kingdom,overview,2021-01-22,631901
K02000001,United Kingdom,overview,2021-01-21,668989
