areaCode,areaName,areaType,date,capacityPillarThree
K02000001,United Kingdom,overview,2021-04-14,120000
K02000001,United Kingdom,overview,2021-04-13,120000
K02000001,United Kingdom,overview,2021-04-12,120000
K02000001,United Kingdom,overview,2021-04-11,120000
K02000001,United Kingdom,overview,2021-04-10,120000
K02000001,United Kingdom,overview,2021-04-09,120000
K02000001,United Kingdom,overview,2021-04-08,120000
K02000001,United Kingdom,overview,2021-04-07,120000
K02000001,United Kingdom,overview,2021-04-06,120000
K02000001,United Kingdom,overview,2021-04-05,120000
K02000001,United Kingdom,overview,2021-04-04,120000
K02000001,United Kingdom,overview,2021-04-03,120000
K02000001,United Kingdom,overview,2021-04-02,120000
K02000001,United Kingdom,overview,2021-04-01,120000
K02000001,United Kingdom,overview,2021-03-31,120000
K02000001,United Kingdom,overview,2021-03-30,120000
K02000001,United Kingdom,overview,2021-03-29,120000
K02000001,United Kingdom,overview,2021-03-28,120000
K02000001,United Kingdom,overview,2021-03-27,120000
K02000001,United Kingdom,overview,2021-03-26,120000
K02000001,United Kingdom,overview,2021-03-25,120000
K02000001,United Kingdom,overview,2021-03-24,120000
K02000001,United Kingdom,overview,2021-03-23,120000
K02000001,United Kingdom,overview,2021-03-22,120000
K02000001,United Kingdom,overview,2021-03-21,120000
K02000001,United Kingdom,overview,2021-03-20,120000
K02000001,United Kingdom,overview,2021-03-19,120000
K02000001,United Kingdom,overview,2021-03-18,120000
K02000001,United Kingdom,overview,2021-03-17,120000
K02000001,United Kingdom,overview,2021-03-16,120000
K02000001,United Kingdom,overview,2021-03-15,120000
K02000001,United Kingdom,overview,2021-03-14,120000
K02000001,United Kingdom,overview,2021-03-13,120000
K02000001,United Kingdom,overview,2021-03-12,120000
K02000001,United Kingdom,overview,2021-03-11,120000
K02000001,United Kingdom,overview,2021-03-10,120000
K02000001,United Kingdom,overview,2021-03-09,120000
K02000001,United Kingdom,overview,2021-03-08,120000
K02000001,United Kingdom,overview,2021-03-07,120000
K02000001,United Kingdom,overview,2021-03-06,120000
K02000001,United Kingdom,overview,2021-03-05,120000
K02000001,United Kingdom,overview,2021-03-04,120000
K02000001,United Kingdom,overview,2021-03-03,120000
K02000001,United Kingdom,overview,2021-03-02,120000
K02000001,United Kingdom,overview,2021-03-01,120000
K02000001,United Kingdom,overview,2021-02-28,120000
K02000001,United Kingdom,overview,2021-02-27,120000
K02000001,United Kingdom,overview,2021-02-26,120000
K02000001,United Kingdom,overview,2021-02-25,120000
K02000001,United Kingdom,overview,2021-02-24,120000
K02000001,United Kingdom,overview,2021-02-23,120000
K02000001,United Kingdom,overview,2021-02-22,120000
K02000001,United Kingdom,overview,2021-02-21,120000
K02000001,United Kingdom,overview,2021-02-20,120000
K02000001,United Kingdom,overview,2021-02-19,120000
K02000001,United Kingdom,overview,2021-02-18,120000
K02000001,United Kingdom,overview,2021-02-17,120000
K02000001,United Kingdom,overview,2021-02-16,120000
K02000001,United Kingdom,overview,2021-02-15,120000
K02000001,United Kingdom,overview,2021-02-14,120000
K02000001,United Kingdom,overview,2021-02-13,120000
K02000001,United Kingdom,overview,2021-02-12,120000
K02000001,United Kingdom,overview,2021-02-11,120000
K02000001,United Kingdom,overview,2021-02-10,120000
K02000001,United Kingdom,overview,2021-02-09,120000
K02000001,United Kingdom,overview,2021-02-08,120000
K02000001,United Kingdom,overview,2021-02-07,120000
K02000001,United Kingdom,overview,2021-02-06,120000
K02000001,United Kingdom,overview,2021-02-05,120000
K02000001,United Kingdom,overview,2021-02-04,120000
K02000001,United Kingdom,overview,2021-02-03,120000
K02000001,United Kingdom,overview,2021-02-02,120000
K02000001,United Kingdom,overview,2021-02-01,120000
K02000001,United Kingdom,overview,2021-01-31,120000
K02000001,United Kingdom,overview,2021-01-30,120000
K02000001,United Kingdom,overview,2021-01-29,120000
K02000001,United Kingdom,overview,2021-01-28,120000
K02000001,United Kingdom,overview,2021-01-27,120000
K02000001,United Kingdom,overview,2021-01-26,120000
K02000001,United Kingdom,overview,2021-01-25,120000
K02000001,United Kingdom,overview,2021-01-24,120000
K02000001,United Kingdom,overview,2021-01-23,120000
K02000001,United Kingdom,overview,2021-01-22,120000
K02000001,United Kingdom,overview,2021-01-21,120000
K02000001,United Kingdom,overview,2021-01-20,120000
K02000001,United Kingdom,overview,2021-01-19,120000
K02000001,United Kingdom,overview,2021-01-18,120000
K02000001,United Kingdom,overview,2021-01-17,120000
K02000001,United Kingdom,overview,2021-01-16,120000
K02000001,United Kingdom,overview,2021-01-15,120000
K02000001,United Kingdom,overview,2021-01-14,120000
K02000001,United Kingdom,overview,2021-01-13,120000
K02000001,United Kingdom,overview,2021-01-12,120000
K02000001,United Kingdom,overview,2021-01-11,120000
K02000001,United Kingdom,overview,2021-01-10,120000
K02000001,United Kingdom,overview,2021-01-09,120000
K02000001,United Kingdom,overview,2021-01-08,120000
K02000001,United Kingdom,overview,2021-01-07,120000
K02000001,United Kingdom,overview,2021-01-06,120000
K02000001,United Kingdom,overview,2021-01-05,120000
K02000001,United Kingdom,overview,2021-01-04,120000
K02000001,United Kingdom,overview,2021-01-03,120000
K02000001,United Kingdom,overview,2021-01-02,120000
K02000001,United Kingdom,overview,2021-01-01,120000
K02000001,United Kingdom,overview,2020-12-31,120000
K02000001,United Kingdom,overview,2020-12-30,120000
K02000001,United Kingdom,overview,2020-12-29,120000
K02000001,United Kingdom,overview,2020-12-28,120000
K02000001,United Kingdom,overview,2020-12-27,120000
K02000001,United Kingdom,overview,2020-12-26,120000
K02000001,United Kingdom,overview,2020-12-25,120000
K02000001,United Kingdom,overview,2020-12-24,120000
K02000001,United Kingdom,overview,2020-12-23,120000
K02000001,United Kingdom,overview,2020-12-22,120000
K02000001,United Kingdom,overview,2020-12-21,120000
K02000001,United Kingdom,overview,2020-12-20,120000
K02000001,United Kingdom,overview,2020-12-19,120000
K02000001,United Kingdom,overview,2020-12-18,120000
K02000001,United Kingdom,overview,2020-12-17,120000
K02000001,United Kingdom,overview,2020-12-16,120000
K02000001,United Kingdom,overview,2020-12-15,120000
K02000001,United Kingdom,overview,2020-12-14,120000
K02000001,United Kingdom,overview,2020-12-13,120000
K02000001,United Kingdom,overview,2020-12-12,120000
K02000001,United Kingdom,overview,2020-12-11,120000
K02000001,United Kingdom,overview,2020-12-10,120000
K02000001,United Kingdom,overview,2020-12-09,120000
K02000001,United Kingdom,overview,2020-12-08,120000
K02000001,United Kingdom,overview,2020-12-07,120000
K02000001,United Kingdom,overview,2020-12-06,120000
K02000001,United Kingdom,overview,2020-12-05,120000
K02000001,United Kingdom,overview,2020-12-04,120000
K02000001,United Kingdom,overview,2020-12-03,120000
K02000001,United Kingdom,overview,2020-12-02,120000
K02000001,United Kingdom,overview,2020-12-01,120000
K02000001,United Kingdom,overview,2020-11-30,120000
K02000001,United Kingdom,overview,2020-11-29,120000
K02000001,United Kingdom,overview,2020-11-28,120000
K02000001,United Kingdom,overview,2020-11-27,120000
K02000001,United Kingdom,overview,2020-11-26,120000
K02000001,United Kingdom,overview,2020-11-25,120000
K02000001,United Kingdom,overview,2020-11-24,120000
K02000001,United Kingdom,overview,2020-11-23,120000
K02000001,United Kingdom,overview,2020-11-22,120000
K02000001,United Kingdom,overview,2020-11-21,120000
K02000001,United Kingdom,overview,2020-11-20,120000
K02000001,United Kingdom,overview,2020-11-19,120000
K02000001,United Kingdom,overview,2020-11-18,120000
K02000001,United Kingdom,overview,2020-11-17,120000
K02000001,United Kingdom,overview,2020-11-16,120000
K02000001,United Kingdom,overview,2020-11-15,120000
K02000001,United Kingdom,overview,2020-11-14,120000
K02000001,United Kingdom,overview,2020-11-13,120000
K02000001,United Kingdom,overview,2020-11-12,120000
K02000001,United Kingdom,overview,2020-11-11,120000
K02000001,United Kingdom,overview,2020-11-10,120000
K02000001,United Kingdom,overview,2020-11-09,120000
K02000001,United Kingdom,overview,2020-11-08,120000
K02000001,United Kingdom,overview,2020-11-07,120000
K02000001,United Kingdom,overview,2020-11-06,120000
K02000001,United Kingdom,overview,2020-11-05,120000
K02000001,United Kingdom,overview,2020-11-04,120000
K02000001,United Kingdom,overview,2020-11-03,120000
K02000001,United Kingdom,overview,2020-11-02,120000
K02000001,United Kingdom,overview,2020-11-01,120000
K02000001,United Kingdom,overview,2020-10-31,120000
K02000001,United Kingdom,overview,2020-10-30,120000
