areaCode,areaName,areaType,date,plannedAntibodyCapacityByPublishDate
K02000001,United Kingdom,overview,2021-04-15,122400
K02000001,United Kingdom,overview,2021-04-14,122400
K02000001,United Kingdom,overview,2021-04-13,122400
K02000001,United Kingdom,overview,2021-04-12,122400
K02000001,United Kingdom,overview,2021-04-11,122400
K02000001,United Kingdom,overview,2021-04-10,122400
K02000001,United Kingdom,overview,2021-04-09,122400
K02000001,United Kingdom,overview,2021-04-08,122400
K02000001,United Kingdom,overview,2021-04-07,122400
K02000001,United Kingdom,overview,2021-04-06,122400
K02000001,United Kingdom,overview,2021-04-05,122400
K02000001,United Kingdom,overview,2021-04-04,122400
K02000001,United Kingdom,overview,2021-04-03,122400
K02000001,United Kingdom,overview,2021-04-02,122400
K02000001,United Kingdom,overview,2021-04-01,122400
K02000001,United Kingdom,overview,2021-03-31,122400
K02000001,United Kingdom,overview,2021-03-30,122400
K02000001,United Kingdom,overview,2021-03-29,122400
K02000001,United Kingdom,overview,2021-03-28,122400
K02000001,United Kingdom,overview,2021-03-27,122400
K02000001,United Kingdom,overview,2021-03-26,122400
K02000001,United Kingdom,overview,2021-03-25,122400
K02000001,United Kingdom,overview,2021-03-24,122400
K02000001,United Kingdom,overview,2021-03-23,122400
K02000001,United Kingdom,overview,2021-03-22,122400
K02000001,United Kingdom,overview,2021-03-21,122400
K02000001,United Kingdom,overview,2021-03-20,122400
K02000001,United Kingdom,overview,2021-03-19,122400
K02000001,United Kingdom,overview,2021-03-18,122400
K02000001,United Kingdom,overview,2021-03-17,122400
K02000001,United Kingdom,overview,2021-03-16,122400
K02000001,United Kingdom,overview,2021-03-15,122400
K02000001,United Kingdom,overview,2021-03-14,122400
K02000001,United Kingdom,overview,2021-03-13,122400
K02000001,United Kingdom,overview,2021-03-12,122400
K02000001,United Kingdom,overview,2021-03-11,122400
K02000001,United Kingdom,overview,2021-03-10,122400
K02000001,United Kingdom,overview,2021-03-09,122400
K02000001,United Kingdom,overview,2021-03-08,122400
K02000001,United Kingdom,overview,2021-03-07,121100
K02000001,United Kingdom,overview,2021-03-06,121100
K02000001,United Kingdom,overview,2021-03-05,121100
K02000001,United Kingdom,overview,2021-03-04,121100
K02000001,United Kingdom,overview,2021-03-03,121100
K02000001,United Kingdom,overview,2021-03-02,121100
