areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2021-03-28,48
K02000001,United Kingdom,overview,2021-03-27,62
K02000001,United Kingdom,overview,2021-03-26,72
K02000001,United Kingdom,overview,2021-03-25,77
K02000001,United Kingdom,overview,2021-03-24,69
K02000001,United Kingdom,overview,2021-03-23,93
K02000001,United Kingdom,overview,2021-03-22,105
K02000001,United Kingdom,overview,2021-03-21,123
K02000001,United Kingdom,overview,2021-03-20,99
K02000001,United Kingdom,overview,2021-03-19,101
K02000001,United Kingdom,overview,2021-03-18,99
K02000001,United Kingdom,overview,2021-03-17,126
K02000001,United Kingdom,overview,2021-03-16,112
K02000001,United Kingdom,overview,2021-03-15,135
K02000001,United Kingdom,overview,2021-03-14,132
K02000001,United Kingdom,overview,2021-03-13,134
K02000001,United Kingdom,overview,2021-03-12,134
K02000001,United Kingdom,overview,2021-03-11,170
K02000001,United Kingdom,overview,2021-03-10,160
K02000001,United Kingdom,overview,2021-03-09,185
K02000001,United Kingdom,overview,2021-03-08,194
K02000001,United Kingdom,overview,2021-03-07,194
K02000001,United Kingdom,overview,2021-03-06,209
K02000001,United Kingdom,overview,2021-03-05,218
K02000001,United Kingdom,overview,2021-03-04,232
K02000001,United Kingdom,overview,2021-03-03,214
K02000001,United Kingdom,overview,2021-03-02,242
K02000001,United Kingdom,overview,2021-03-01,289
K02000001,United Kingdom,overview,2021-02-28,277
K02000001,United Kingdom,overview,2021-02-27,305
K02000001,United Kingdom,overview,2021-02-26,298
K02000001,United Kingdom,overview,2021-02-25,347
K02000001,United Kingdom,overview,2021-02-24,363
K02000001,United Kingdom,overview,2021-02-23,375
K02000001,United Kingdom,overview,2021-02-22,372
K02000001,United Kingdom,overview,2021-02-21,410
K02000001,United Kingdom,overview,2021-02-20,448
K02000001,United Kingdom,overview,2021-02-19,463
K02000001,United Kingdom,overview,2021-02-18,518
K02000001,United Kingdom,overview,2021-02-17,502
K02000001,United Kingdom,overview,2021-02-16,561
K02000001,United Kingdom,overview,2021-02-15,610
K02000001,United Kingdom,overview,2021-02-14,598
K02000001,United Kingdom,overview,2021-02-13,580
K02000001,United Kingdom,overview,2021-02-12,628
K02000001,United Kingdom,overview,2021-02-11,666
K02000001,United Kingdom,overview,2021-02-10,707
K02000001,United Kingdom,overview,2021-02-09,720
K02000001,United Kingdom,overview,2021-02-08,776
K02000001,United Kingdom,overview,2021-02-07,750
K02000001,United Kingdom,overview,2021-02-06,778
K02000001,United Kingdom,overview,2021-02-05,869
K02000001,United Kingdom,overview,2021-02-04,822
K02000001,United Kingdom,overview,2021-02-03,964
K02000001,United Kingdom,overview,2021-02-02,958
K02000001,United Kingdom,overview,2021-02-01,1000
K02000001,United Kingdom,overview,2021-01-31,990
K02000001,United Kingdom,overview,2021-01-30,1020
K02000001,United Kingdom,overview,2021-01-29,1152
K02000001,United Kingdom,overview,2021-01-28,1220
K02000001,United Kingdom,overview,2021-01-27,1226
K02000001,United Kingdom,overview,2021-01-26,1164
K02000001,United Kingdom,overview,2021-01-25,1254
K02000001,United Kingdom,overview,2021-01-24,1231
K02000001,United Kingdom,overview,2021-01-23,1280
K02000001,United Kingdom,overview,2021-01-22,1328
K02000001,United Kingdom,overview,2021-01-21,1338
K02000001,United Kingdom,overview,2021-01-20,1376
K02000001,United Kingdom,overview,2021-01-19,1484
K02000001,United Kingdom,overview,2021-01-18,1396
K02000001,United Kingdom,overview,2021-01-17,1352
K02000001,United Kingdom,overview,2021-01-16,1412
K02000001,United Kingdom,overview,2021-01-15,1315
K02000001,United Kingdom,overview,2021-01-14,1330
K02000001,United Kingdom,overview,2021-01-13,1301
K02000001,United Kingdom,overview,2021-01-12,1311
K02000001,United Kingdom,overview,2021-01-11,1237
K02000001,United Kingdom,overview,2021-01-10,1167
K02000001,United Kingdom,overview,2021-01-09,1088
K02000001,United Kingdom,overview,2021-01-08,1051
K02000001,United Kingdom,overview,2021-01-07,1053
K02000001,United Kingdom,overview,2021-01-06,1013
K02000001,United Kingdom,overview,2021-01-05,962
K02000001,United Kingdom,overview,2021-01-04,892
K02000001,United Kingdom,overview,2021-01-03,806
K02000001,United Kingdom,overview,2021-01-02,830
K02000001,United Kingdom,overview,2021-01-01,810
K02000001,United Kingdom,overview,2020-12-31,824
K02000001,United Kingdom,overview,2020-12-30,760
K02000001,United Kingdom,overview,2020-12-29,713
K02000001,United Kingdom,overview,2020-12-28,723
K02000001,United Kingdom,overview,2020-12-27,718
K02000001,United Kingdom,overview,2020-12-26,692
K02000001,United Kingdom,overview,2020-12-25,655
K02000001,United Kingdom,overview,2020-12-24,616
K02000001,United Kingdom,overview,2020-12-23,629
K02000001,United Kingdom,overview,2020-12-22,629
K02000001,United Kingdom,overview,2020-12-21,602
K02000001,United Kingdom,overview,2020-12-20,551
K02000001,United Kingdom,overview,2020-12-19,548
K02000001,United Kingdom,overview,2020-12-18,586
K02000001,United Kingdom,overview,2020-12-17,567
K02000001,United Kingdom,overview,2020-12-16,484
K02000001,United Kingdom,overview,2020-12-15,507
K02000001,United Kingdom,overview,2020-12-14,506
K02000001,United Kingdom,overview,2020-12-13,480
K02000001,United Kingdom,overview,2020-12-12,488
K02000001,United Kingdom,overview,2020-12-11,491
K02000001,United Kingdom,overview,2020-12-10,496
K02000001,United Kingdom,overview,2020-12-09,448
K02000001,United Kingdom,overview,2020-12-08,472
K02000001,United Kingdom,overview,2020-12-07,466
K02000001,United Kingdom,overview,2020-12-06,436
K02000001,United Kingdom,overview,2020-12-05,407
K02000001,United Kingdom,overview,2020-12-04,499
K02000001,United Kingdom,overview,2020-12-03,504
K02000001,United Kingdom,overview,2020-12-02,414
K02000001,United Kingdom,overview,2020-12-01,425
K02000001,United Kingdom,overview,2020-11-30,465
K02000001,United Kingdom,overview,2020-11-29,501
K02000001,United Kingdom,overview,2020-11-28,486
K02000001,United Kingdom,overview,2020-11-27,460
K02000001,United Kingdom,overview,2020-11-26,461
K02000001,United Kingdom,overview,2020-11-25,499
K02000001,United Kingdom,overview,2020-11-24,496
K02000001,United Kingdom,overview,2020-11-23,508
K02000001,United Kingdom,overview,2020-11-22,512
K02000001,United Kingdom,overview,2020-11-21,498
K02000001,United Kingdom,overview,2020-11-20,485
K02000001,United Kingdom,overview,2020-11-19,485
K02000001,United Kingdom,overview,2020-11-18,514
K02000001,United Kingdom,overview,2020-11-17,466
K02000001,United Kingdom,overview,2020-11-16,431
K02000001,United Kingdom,overview,2020-11-15,457
K02000001,United Kingdom,overview,2020-11-14,459
K02000001,United Kingdom,overview,2020-11-13,450
K02000001,United Kingdom,overview,2020-11-12,430
K02000001,United Kingdom,overview,2020-11-11,409
K02000001,United Kingdom,overview,2020-11-10,410
K02000001,United Kingdom,overview,2020-11-09,493
K02000001,United Kingdom,overview,2020-11-08,433
K02000001,United Kingdom,overview,2020-11-07,417
K02000001,United Kingdom,overview,2020-11-06,417
K02000001,United Kingdom,overview,2020-11-05,388
K02000001,United Kingdom,overview,2020-11-04,340
K02000001,United Kingdom,overview,2020-11-03,377
K02000001,United Kingdom,overview,2020-11-02,338
K02000001,United Kingdom,overview,2020-11-01,359
K02000001,United Kingdom,overview,2020-10-31,340
K02000001,United Kingdom,overview,2020-10-30,352
K02000001,United Kingdom,overview,2020-10-29,320
K02000001,United Kingdom,overview,2020-10-28,281
