areaCode,areaName,areaType,date,newVirusTests
K02000001,United Kingdom,overview,2021-04-16,681887
K02000001,United Kingdom,overview,2021-04-15,988311
K02000001,United Kingdom,overview,2021-04-14,1162840
K02000001,United Kingdom,overview,2021-04-13,679109
K02000001,United Kingdom,overview,2021-04-12,874399
K02000001,United Kingdom,overview,2021-04-11,1218037
K02000001,United Kingdom,overview,2021-04-10,482153
K02000001,United Kingdom,overview,2021-04-09,676307
K02000001,United Kingdom,overview,2021-04-08,931579
K02000001,United Kingdom,overview,2021-04-07,1034088
K02000001,United Kingdom,overview,2021-04-06,631846
K02000001,United Kingdom,overview,2021-04-05,741323
K02000001,United Kingdom,overview,2021-04-04,813693
K02000001,United Kingdom,overview,2021-04-03,405634
K02000001,United Kingdom,overview,2021-04-02,555613
K02000001,United Kingdom,overview,2021-04-01,953206
K02000001,United Kingdom,overview,2021-03-31,1266685
K02000001,United Kingdom,overview,2021-03-30,695477
K02000001,United Kingdom,overview,2021-03-29,972317
K02000001,United Kingdom,overview,2021-03-28,1641942
K02000001,United Kingdom,overview,2021-03-27,471328
K02000001,United Kingdom,overview,2021-03-26,722814
K02000001,United Kingdom,overview,2021-03-25,1275285
K02000001,United Kingdom,overview,2021-03-24,1813842
K02000001,United Kingdom,overview,2021-03-23,839954
K02000001,United Kingdom,overview,2021-03-22,1191048
K02000001,United Kingdom,overview,2021-03-21,1893830
K02000001,United Kingdom,overview,2021-03-20,473050
K02000001,United Kingdom,overview,2021-03-19,933234
K02000001,United Kingdom,overview,2021-03-18,1437257
K02000001,United Kingdom,overview,2021-03-17,1635141
K02000001,United Kingdom,overview,2021-03-16,1319784
K02000001,United Kingdom,overview,2021-03-15,1573774
K02000001,United Kingdom,overview,2021-03-14,965127
K02000001,United Kingdom,overview,2021-03-13,437958
K02000001,United Kingdom,overview,2021-03-12,1402203
K02000001,United Kingdom,overview,2021-03-11,1614145
K02000001,United Kingdom,overview,2021-03-10,1554080
K02000001,United Kingdom,overview,2021-03-09,1374579
K02000001,United Kingdom,overview,2021-03-08,1529525
K02000001,United Kingdom,overview,2021-03-07,805744
K02000001,United Kingdom,overview,2021-03-06,452750
K02000001,United Kingdom,overview,2021-03-05,953671
K02000001,United Kingdom,overview,2021-03-04,992812
K02000001,United Kingdom,overview,2021-03-03,863658
K02000001,United Kingdom,overview,2021-03-02,675543
K02000001,United Kingdom,overview,2021-03-01,727972
K02000001,United Kingdom,overview,2021-02-28,526679
K02000001,United Kingdom,overview,2021-02-27,383946
K02000001,United Kingdom,overview,2021-02-26,604745
K02000001,United Kingdom,overview,2021-02-25,731410
K02000001,United Kingdom,overview,2021-02-24,740717
K02000001,United Kingdom,overview,2021-02-23,594629
K02000001,United Kingdom,overview,2021-02-22,670560
K02000001,United Kingdom,overview,2021-02-21,590591
K02000001,United Kingdom,overview,2021-02-20,408118
K02000001,United Kingdom,overview,2021-02-19,521230
K02000001,United Kingdom,overview,2021-02-18,560400
K02000001,United Kingdom,overview,2021-02-17,578844
K02000001,United Kingdom,overview,2021-02-16,488578
K02000001,United Kingdom,overview,2021-02-15,457144
K02000001,United Kingdom,overview,2021-02-14,401786
K02000001,United Kingdom,overview,2021-02-13,403600
K02000001,United Kingdom,overview,2021-02-12,626243
K02000001,United Kingdom,overview,2021-02-11,730223
K02000001,United Kingdom,overview,2021-02-10,763311
K02000001,United Kingdom,overview,2021-02-09,579266
K02000001,United Kingdom,overview,2021-02-08,616718
K02000001,United Kingdom,overview,2021-02-07,584933
K02000001,United Kingdom,overview,2021-02-06,454008
K02000001,United Kingdom,overview,2021-02-05,671585
K02000001,United Kingdom,overview,2021-02-04,783851
K02000001,United Kingdom,overview,2021-02-03,801949
K02000001,United Kingdom,overview,2021-02-02,606382
K02000001,United Kingdom,overview,2021-02-01,643204
K02000001,United Kingdom,overview,2021-01-31,574012
K02000001,United Kingdom,overview,2021-01-30,439006
K02000001,United Kingdom,overview,2021-01-29,662675
K02000001,United Kingdom,overview,2021-01-28,753031
K02000001,United Kingdom,overview,2021-01-27,771710
K02000001,United Kingdom,overview,2021-01-26,596845
K02000001,United Kingdom,overview,2021-01-25,542893
K02000001,United Kingdom,overview,2021-01-24,412204
K02000001,United Kingdom,overview,2021-01-23,484485
K02000001,United Kingdom,overview,2021-01-22,629416
K02000001,United Kingdom,overview,2021-01-21,665330
K02000001,United Kingdom,overview,2021-01-20,640856
K02000001,United Kingdom,overview,2021-01-19,579194
K02000001,United Kingdom,overview,2021-01-18,556689
K02000001,United Kingdom,overview,2021-01-17,417329
K02000001,United Kingdom,overview,2021-01-16,491137
K02000001,United Kingdom,overview,2021-01-15,596727
K02000001,United Kingdom,overview,2021-01-14,695148
K02000001,United Kingdom,overview,2021-01-13,628556
K02000001,United Kingdom,overview,2021-01-12,584760
K02000001,United Kingdom,overview,2021-01-11,536947
K02000001,United Kingdom,overview,2021-01-10,485874
K02000001,United Kingdom,overview,2021-01-09,567302
K02000001,United Kingdom,overview,2021-01-08,680215
K02000001,United Kingdom,overview,2021-01-07,619941
K02000001,United Kingdom,overview,2021-01-06,557441
K02000001,United Kingdom,overview,2021-01-05,498624
K02000001,United Kingdom,overview,2021-01-04,464611
K02000001,United Kingdom,overview,2021-01-03,428770
K02000001,United Kingdom,overview,2021-01-02,411523
K02000001,United Kingdom,overview,2021-01-01,422804
K02000001,United Kingdom,overview,2020-12-31,482473
K02000001,United Kingdom,overview,2020-12-30,420492
K02000001,United Kingdom,overview,2020-12-29,344775
K02000001,United Kingdom,overview,2020-12-28,357238
K02000001,United Kingdom,overview,2020-12-27,352702
K02000001,United Kingdom,overview,2020-12-26,269876
K02000001,United Kingdom,overview,2020-12-25,339024
K02000001,United Kingdom,overview,2020-12-24,463123
K02000001,United Kingdom,overview,2020-12-23,509507
K02000001,United Kingdom,overview,2020-12-22,453903
K02000001,United Kingdom,overview,2020-12-21,423675
K02000001,United Kingdom,overview,2020-12-20,433470
K02000001,United Kingdom,overview,2020-12-19,440584
K02000001,United Kingdom,overview,2020-12-18,390130
K02000001,United Kingdom,overview,2020-12-17,375185
K02000001,United Kingdom,overview,2020-12-16,364388
K02000001,United Kingdom,overview,2020-12-15,304360
K02000001,United Kingdom,overview,2020-12-14,275772
K02000001,United Kingdom,overview,2020-12-13,312273
