areaCode,areaName,areaType,date,newPillarTwoTestsByPublishDate
K02000001,United Kingdom,overview,2021-04-16,588138
K02000001,United Kingdom,overview,2021-04-15,895315
K02000001,United Kingdom,overview,2021-04-14,1049408
K02000001,United Kingdom,overview,2021-04-13,560740
K02000001,United Kingdom,overview,2021-04-12,785255
K02000001,United Kingdom,overview,2021-04-11,1143447
K02000001,United Kingdom,overview,2021-04-10,392004
K02000001,United Kingdom,overview,2021-04-09,575712
K02000001,United Kingdom,overview,2021-04-08,824848
K02000001,United Kingdom,overview,2021-04-07,921483
K02000001,United Kingdom,overview,2021-04-06,529472
K02000001,United Kingdom,overview,2021-04-05,667650
K02000001,United Kingdom,overview,2021-04-04,739343
K02000001,United Kingdom,overview,2021-04-03,333933
K02000001,United Kingdom,overview,2021-04-02,481181
K02000001,United Kingdom,overview,2021-04-01,851448
K02000001,United Kingdom,overview,2021-03-31,1155454
K02000001,United Kingdom,overview,2021-03-30,580385
K02000001,United Kingdom,overview,2021-03-29,875539
K02000001,United Kingdom,overview,2021-03-28,1559664
K02000001,United Kingdom,overview,2021-03-27,380684
K02000001,United Kingdom,overview,2021-03-26,616377
K02000001,United Kingdom,overview,2021-03-25,1163972
K02000001,United Kingdom,overview,2021-03-24,1685906
K02000001,United Kingdom,overview,2021-03-23,721036
K02000001,United Kingdom,overview,2021-03-22,1090436
K02000001,United Kingdom,overview,2021-03-21,1802315
K02000001,United Kingdom,overview,2021-03-20,377256
K02000001,United Kingdom,overview,2021-03-19,828414
K02000001,United Kingdom,overview,2021-03-18,1321954
K02000001,United Kingdom,overview,2021-03-17,1510077
K02000001,United Kingdom,overview,2021-03-16,1203115
K02000001,United Kingdom,overview,2021-03-15,1483711
K02000001,United Kingdom,overview,2021-03-14,885406
K02000001,United Kingdom,overview,2021-03-13,354454
K02000001,United Kingdom,overview,2021-03-12,1308282
K02000001,United Kingdom,overview,2021-03-11,1511972
K02000001,United Kingdom,overview,2021-03-10,1436785
K02000001,United Kingdom,overview,2021-03-09,1272551
K02000001,United Kingdom,overview,2021-03-08,1440664
K02000001,United Kingdom,overview,2021-03-07,732240
K02000001,United Kingdom,overview,2021-03-06,367847
K02000001,United Kingdom,overview,2021-03-05,854220
K02000001,United Kingdom,overview,2021-03-04,892222
K02000001,United Kingdom,overview,2021-03-03,745096
K02000001,United Kingdom,overview,2021-03-02,566928
K02000001,United Kingdom,overview,2021-03-01,643332
K02000001,United Kingdom,overview,2021-02-28,453191
K02000001,United Kingdom,overview,2021-02-27,294875
K02000001,United Kingdom,overview,2021-02-26,508327
K02000001,United Kingdom,overview,2021-02-25,632521
K02000001,United Kingdom,overview,2021-02-24,621507
K02000001,United Kingdom,overview,2021-02-23,484459
K02000001,United Kingdom,overview,2021-02-22,577597
K02000001,United Kingdom,overview,2021-02-21,507019
K02000001,United Kingdom,overview,2021-02-20,309069
K02000001,United Kingdom,overview,2021-02-19,416580
K02000001,United Kingdom,overview,2021-02-18,449301
K02000001,United Kingdom,overview,2021-02-17,450756
K02000001,United Kingdom,overview,2021-02-16,369040
K02000001,United Kingdom,overview,2021-02-15,352082
K02000001,United Kingdom,overview,2021-02-14,319530
K02000001,United Kingdom,overview,2021-02-13,308093
K02000001,United Kingdom,overview,2021-02-12,510719
K02000001,United Kingdom,overview,2021-02-11,617341
K02000001,United Kingdom,overview,2021-02-10,632701
K02000001,United Kingdom,overview,2021-02-09,448603
K02000001,United Kingdom,overview,2021-02-08,534364
K02000001,United Kingdom,overview,2021-02-07,506896
K02000001,United Kingdom,overview,2021-02-06,367292
K02000001,United Kingdom,overview,2021-02-05,570016
K02000001,United Kingdom,overview,2021-02-04,672639
K02000001,United Kingdom,overview,2021-02-03,678381
K02000001,United Kingdom,overview,2021-02-02,501704
K02000001,United Kingdom,overview,2021-02-01,557384
K02000001,United Kingdom,overview,2021-01-31,496085
K02000001,United Kingdom,overview,2021-01-30,347004
K02000001,United Kingdom,overview,2021-01-29,553496
K02000001,United Kingdom,overview,2021-01-28,642969
K02000001,United Kingdom,overview,2021-01-27,646588
K02000001,United Kingdom,overview,2021-01-26,482611
K02000001,United Kingdom,overview,2021-01-25,457607
K02000001,United Kingdom,overview,2021-01-24,334119
K02000001,United Kingdom,overview,2021-01-23,381301
K02000001,United Kingdom,overview,2021-01-22,529002
K02000001,United Kingdom,overview,2021-01-21,547737
K02000001,United Kingdom,overview,2021-01-20,512639
K02000001,United Kingdom,overview,2021-01-19,461109
K02000001,United Kingdom,overview,2021-01-18,467511
K02000001,United Kingdom,overview,2021-01-17,332684
K02000001,United Kingdom,overview,2021-01-16,389799
K02000001,United Kingdom,overview,2021-01-15,490024
K02000001,United Kingdom,overview,2021-01-14,576959
K02000001,United Kingdom,overview,2021-01-13,500327
K02000001,United Kingdom,overview,2021-01-12,447659
K02000001,United Kingdom,overview,2021-01-11,444386
K02000001,United Kingdom,overview,2021-01-10,371809
K02000001,United Kingdom,overview,2021-01-09,447503
K02000001,United Kingdom,overview,2021-01-08,557473
K02000001,United Kingdom,overview,2021-01-07,502113
K02000001,United Kingdom,overview,2021-01-06,445142
K02000001,United Kingdom,overview,2021-01-05,383697
K02000001,United Kingdom,overview,2021-01-04,378918
K02000001,United Kingdom,overview,2021-01-03,354571
K02000001,United Kingdom,overview,2021-01-02,345633
K02000001,United Kingdom,overview,2021-01-01,344619
K02000001,United Kingdom,overview,2020-12-31,403219
K02000001,United Kingdom,overview,2020-12-30,317551
K02000001,United Kingdom,overview,2020-12-29,257586
K02000001,United Kingdom,overview,2020-12-28,293247
K02000001,United Kingdom,overview,2020-12-27,299641
K02000001,United Kingdom,overview,2020-12-26,224044
K02000001,United Kingdom,overview,2020-12-25,294624
K02000001,United Kingdom,overview,2020-12-24,383905
