areaCode,areaName,areaType,date,capacityPillarFour
K02000001,United Kingdom,overview,2021-04-14,2400
K02000001,United Kingdom,overview,2021-04-13,2400
K02000001,United Kingdom,overview,2021-04-12,2400
K02000001,United Kingdom,overview,2021-04-11,2400
K02000001,United Kingdom,overview,2021-04-10,2400
K02000001,United Kingdom,overview,2021-04-09,2400
K02000001,United Kingdom,overview,2021-04-08,2400
K02000001,United Kingdom,overview,2021-04-07,2400
K02000001,United Kingdom,overview,2021-04-06,2400
K02000001,United Kingdom,overview,2021-04-05,2400
K02000001,United Kingdom,overview,2021-04-04,2400
K02000001,United Kingdom,overview,2021-04-03,2400
K02000001,United Kingdom,overview,2021-04-02,2400
K02000001,United Kingdom,overview,2021-04-01,2400
K02000001,United Kingdom,overview,2021-03-31,5795
K02000001,United Kingdom,overview,2021-03-30,5045
K02000001,United Kingdom,overview,2021-03-29,7162
K02000001,United Kingdom,overview,2021-03-28,7086
K02000001,United Kingdom,overview,2021-03-27,8086
K02000001,United Kingdom,overview,2021-03-26,12009
K02000001,United Kingdom,overview,2021-03-25,10657
K02000001,United Kingdom,overview,2021-03-24,13886
K02000001,United Kingdom,overview,2021-03-23,10608
K02000001,United Kingdom,overview,2021-03-22,14778
K02000001,United Kingdom,overview,2021-03-21,14217
K02000001,United Kingdom,overview,2021-03-20,14686
K02000001,United Kingdom,overview,2021-03-19,14733
K02000001,United Kingdom,overview,2021-03-18,13879
K02000001,United Kingdom,overview,2021-03-17,11711
K02000001,United Kingdom,overview,2021-03-16,9001
K02000001,United Kingdom,overview,2021-03-15,9514
K02000001,United Kingdom,overview,2021-03-14,2400
K02000001,United Kingdom,overview,2021-03-13,2400
K02000001,United Kingdom,overview,2021-03-12,2400
K02000001,United Kingdom,overview,2021-03-11,2400
K02000001,United Kingdom,overview,2021-03-10,2400
K02000001,United Kingdom,overview,2021-03-09,2400
K02000001,United Kingdom,overview,2021-03-08,2400
K02000001,United Kingdom,overview,2021-03-07,1100
K02000001,United Kingdom,overview,2021-03-06,1100
K02000001,United Kingdom,overview,2021-03-05,1100
K02000001,United Kingdom,overview,2021-03-04,1100
K02000001,United Kingdom,overview,2021-03-03,1100
K02000001,United Kingdom,overview,2021-03-02,1100
K02000001,United Kingdom,overview,2021-03-01,1100
K02000001,United Kingdom,overview,2021-02-28,1100
K02000001,United Kingdom,overview,2021-02-27,1100
